ms,speed,rpm,gear,throttle,mult
8,0.00,0.2000,1,0.000,1.00
16,0.02,0.2000,1,1.000,1.00
25,0.05,0.2000,1,1.000,1.00
34,0.07,0.2000,1,1.000,1.00
43,0.09,0.2000,1,1.000,1.00
52,0.11,0.2000,1,1.000,1.00
62,0.14,0.2000,1,1.000,1.00
71,0.16,0.2000,1,1.000,1.00
80,0.18,0.2000,1,1.000,1.00
89,0.21,0.2000,1,1.000,1.00
98,0.23,0.2000,1,1.000,1.00
106,0.25,0.2000,1,1.000,1.00
115,0.27,0.2000,1,1.000,1.00
123,0.30,0.2000,1,1.000,1.00
132,0.32,0.2000,1,1.000,1.00
141,0.35,0.2000,1,1.000,1.00
150,0.37,0.2000,1,1.000,1.00
159,0.39,0.2000,1,1.000,1.00
167,0.42,0.2000,1,1.000,1.00
175,0.44,0.2000,1,1.000,1.00
183,0.47,0.2000,1,1.000,1.00
191,0.49,0.2000,1,1.000,1.00
199,0.51,0.2000,1,1.000,1.00
207,0.54,0.2000,1,1.000,1.00
215,0.57,0.2000,1,1.000,1.00
223,0.59,0.2000,1,1.000,1.00
231,0.62,0.2000,1,1.000,1.00
240,0.65,0.2000,1,1.000,1.00
249,0.68,0.2000,1,1.000,1.00
258,0.71,0.2000,1,1.000,1.00
267,0.74,0.2000,1,1.000,1.00
277,0.77,0.2000,1,1.000,1.00
287,0.81,0.2000,1,1.000,1.00
297,0.84,0.2000,1,1.000,1.00
307,0.88,0.2000,1,1.000,1.00
318,0.92,0.2000,1,1.000,1.00
327,0.96,0.2000,1,1.000,1.00
337,0.99,0.2000,1,1.000,1.00
348,1.03,0.2000,1,1.000,1.00
357,1.07,0.2000,1,1.000,1.00
366,1.10,0.2045,1,1.000,1.00
375,1.14,0.2098,1,1.000,1.00
385,1.18,0.2155,1,1.000,1.00
394,1.22,0.2213,1,1.000,1.00
403,1.26,0.2267,1,1.000,1.00
412,1.29,0.2324,1,1.000,1.00
421,1.33,0.2377,1,1.000,1.00
429,1.36,0.2429,1,1.000,1.00
438,1.40,0.2480,1,1.000,1.00
446,1.44,0.2535,1,1.000,1.00
455,1.48,0.2583,1,1.000,1.00
463,1.51,0.2634,1,1.000,1.00
472,1.55,0.2683,1,1.000,1.00
481,1.59,0.2737,1,1.000,1.00
488,1.63,0.2790,1,1.000,1.00
496,1.67,0.2839,1,1.000,1.00
505,1.70,0.2889,1,1.000,1.00
513,1.75,0.2941,1,1.000,1.00
522,1.79,0.2994,1,1.000,1.00
531,1.83,0.3075,1,1.000,1.00
539,1.87,0.3130,1,1.000,1.00
548,1.92,0.3184,1,1.000,1.00
556,1.96,0.3239,1,1.000,1.00
565,2.00,0.3295,1,1.000,1.00
574,2.05,0.3349,1,1.000,1.00
583,2.09,0.3406,1,1.000,1.00
591,2.14,0.3464,1,1.000,1.00
599,2.18,0.3519,1,1.000,1.00
608,2.23,0.3573,1,1.000,1.00
616,2.27,0.3630,1,1.000,1.00
624,2.32,0.3684,1,1.000,1.00
633,2.37,0.3736,1,1.000,1.00
643,2.42,0.3796,1,1.000,1.00
652,2.48,0.3857,1,1.000,1.00
661,2.53,0.3922,1,1.000,1.00
670,2.58,0.3984,1,1.000,1.00
678,2.63,0.4042,1,1.000,1.00
687,2.69,0.4098,1,1.000,1.00
695,2.74,0.4155,1,1.000,1.00
704,2.79,0.4213,1,1.000,1.00
712,2.84,0.4269,1,1.000,1.00
721,2.90,0.4326,1,1.000,1.00
730,2.96,0.4387,1,1.000,1.00
742,3.03,0.4449,1,1.000,1.00
752,3.10,0.4554,1,1.000,1.00
761,3.16,0.4638,1,1.000,1.00
771,3.23,0.4705,1,1.000,1.00
779,3.29,0.4769,1,1.000,1.00
788,3.35,0.4831,1,1.000,1.00
797,3.41,0.4891,1,1.000,1.00
806,3.48,0.4953,1,1.000,1.00
814,3.54,0.5018,1,1.000,1.00
823,3.60,0.5079,1,1.000,1.00
833,3.67,0.5138,1,1.000,1.00
841,3.73,0.5204,1,1.000,1.00
850,3.80,0.5266,1,1.000,1.00
858,3.86,0.5329,1,1.000,1.00
867,3.93,0.5391,1,1.000,1.00
876,4.00,0.5453,1,1.000,1.00
884,4.07,0.5516,1,1.000,1.00
893,4.14,0.5580,1,1.000,1.00
903,4.21,0.5644,1,1.000,1.00
913,4.29,0.5713,1,1.000,1.00
921,4.36,0.5784,1,1.000,1.00
931,4.45,0.5851,1,1.000,1.00
941,4.53,0.5922,1,1.000,1.00
950,4.60,0.5996,1,1.000,1.00
958,4.66,0.6061,1,1.000,1.00
966,4.74,0.6122,1,1.000,1.00
975,4.81,0.6185,1,1.000,1.00
983,4.87,0.6247,1,1.000,1.00
991,4.95,0.6307,1,1.000,1.00
1001,5.03,0.6369,1,1.000,1.00
1010,5.11,0.6439,1,1.000,1.00
1018,5.18,0.6508,1,1.000,1.00
1026,5.25,0.6572,1,1.000,1.00
1034,5.32,0.6631,1,1.000,1.00
1043,5.40,0.6690,1,1.000,1.00
1051,5.47,0.6754,1,1.000,1.00
1059,5.54,0.6819,1,1.000,1.00
1068,5.62,0.6882,1,1.000,1.00
1077,5.70,0.6946,1,1.000,1.00
1086,5.79,0.7013,1,1.000,1.00
1094,5.86,0.7083,1,1.000,1.00
1103,5.94,0.7149,1,1.000,1.00
1112,6.02,0.7215,1,1.000,1.00
1120,6.10,0.7282,1,1.000,1.00
1129,6.18,0.7347,1,1.000,1.00
1137,6.26,0.7414,1,1.000,1.00
1146,6.34,0.7478,1,1.000,1.00
1153,6.41,0.7503,1,1.000,1.00
1161,6.49,0.7526,1,1.000,1.00
1170,6.57,0.7550,1,1.000,1.00
1179,6.66,0.7573,1,1.000,1.00
1188,6.74,0.7599,1,1.000,1.00
1196,6.82,0.7625,1,1.000,1.00
1205,6.91,0.7651,1,1.000,1.00
1214,7.00,0.7676,1,1.000,1.00
1222,7.09,0.7703,1,1.000,1.00
1231,7.17,0.7731,1,1.000,1.00
1241,7.27,0.7758,1,1.000,1.00
1250,7.36,0.7784,1,1.000,1.00
1258,7.44,0.7815,1,1.000,1.00
1267,7.53,0.7843,1,1.000,1.00
1275,7.62,0.7869,1,1.000,1.00
1283,7.70,0.7896,1,1.000,1.00
1292,7.79,0.7922,1,1.000,1.00
1300,7.88,0.7948,1,1.000,1.00
1309,7.97,0.7976,1,1.000,1.00
1318,8.07,0.8004,1,1.000,1.00
1327,8.17,0.8033,1,1.000,1.00
1337,8.27,0.8063,1,1.000,1.00
1346,8.37,0.8094,1,1.000,1.00
1354,8.46,0.8115,1,1.000,1.00
1362,8.55,0.8157,1,1.000,1.00
1371,8.65,0.8185,1,1.000,1.00
1380,8.74,0.8215,1,1.000,1.00
1389,8.84,0.8245,1,1.000,1.00
1398,8.94,0.8274,1,1.000,1.00
1409,9.05,0.8308,1,1.000,1.00
1419,9.16,0.8340,1,1.000,1.00
1428,9.27,0.8377,1,1.000,1.00
1441,9.40,0.8412,1,1.000,1.00
1452,9.53,0.8447,1,1.000,1.00
1462,9.65,0.8492,1,1.000,1.00
1473,9.79,0.8532,1,1.000,1.00
1484,9.91,0.8573,1,1.000,1.00
1495,10.04,0.8615,1,1.000,1.00
