ms,speed,rpm,gear,throttle,mult
9,0.00,0.2000,1,0.000,1.00
17,0.05,0.2000,1,1.000,1.00
27,0.11,0.2000,1,1.000,1.00
36,0.15,0.2000,1,1.000,1.00
45,0.19,0.2000,1,1.000,1.00
54,0.23,0.2000,1,1.000,1.00
63,0.26,0.2000,1,1.000,1.00
72,0.29,0.2000,1,1.000,1.00
81,0.32,0.2000,1,1.000,1.00
89,0.34,0.2000,1,1.000,1.00
98,0.37,0.2000,1,1.000,1.00
108,0.40,0.2000,1,1.000,1.00
116,0.41,0.2000,1,1.000,1.00
125,0.43,0.2000,1,1.000,1.00
133,0.45,0.2000,1,1.000,1.00
144,0.47,0.2000,1,1.000,1.00
153,0.48,0.2000,1,1.000,1.00
161,0.50,0.2000,1,1.000,1.00
170,0.51,0.2000,1,1.000,1.00
178,0.53,0.2000,1,1.000,1.00
188,0.54,0.2000,1,1.000,1.00
196,0.56,0.2000,1,1.000,1.00
204,0.57,0.2000,1,1.000,1.00
213,0.59,0.2000,1,1.000,1.00
221,0.60,0.2000,1,1.000,1.00
229,0.62,0.2000,1,1.000,1.00
238,0.64,0.2000,1,1.000,1.00
247,0.65,0.2000,1,1.000,1.00
256,0.67,0.2000,1,1.000,1.00
265,0.69,0.2000,1,1.000,1.00
273,0.71,0.2000,1,1.000,1.00
281,0.73,0.2000,1,1.000,1.00
289,0.75,0.2000,1,1.000,1.00
297,0.76,0.2000,1,1.000,1.00
306,0.79,0.2000,1,1.000,1.00
315,0.81,0.2000,1,1.000,1.00
324,0.83,0.2000,1,1.000,1.00
333,0.85,0.2051,1,1.000,1.00
342,0.88,0.2134,1,1.000,1.00
351,0.90,0.2215,1,1.000,1.00
359,0.92,0.2297,1,1.000,1.00
367,0.94,0.2376,1,1.000,1.00
376,0.97,0.2452,1,1.000,1.00
384,0.99,0.2531,1,1.000,1.00
393,1.02,0.2607,1,1.000,1.00
401,1.04,0.2687,1,1.000,1.00
411,1.07,0.2766,1,1.000,1.00
419,1.10,0.2850,1,1.000,1.00
428,1.12,0.2931,1,1.000,1.00
439,1.15,0.3013,1,1.000,1.00
449,1.19,0.3108,1,1.000,1.00
459,1.22,0.3202,1,1.000,1.00
471,1.26,0.3298,1,1.000,1.00
483,1.30,0.3404,1,1.000,1.00
495,1.34,0.3518,1,1.000,1.00
506,1.37,0.3624,1,1.000,1.00
516,1.41,0.3727,1,1.000,1.00
525,1.44,0.3819,1,1.000,1.00
534,1.47,0.3903,1,1.000,1.00
544,1.51,0.3987,1,1.000,1.00
552,1.53,0.4069,1,1.000,1.00
561,1.57,0.4156,1,1.000,1.00
570,1.60,0.4237,1,1.000,1.00
579,1.63,0.4320,1,1.000,1.00
586,1.66,0.4395,1,1.000,1.00
594,1.69,0.4472,1,1.000,1.00
603,1.72,0.4543,1,1.000,1.00
611,1.75,0.4625,1,1.000,1.00
620,1.78,0.4701,1,1.000,1.00
628,1.81,0.4778,1,1.000,1.00
636,1.85,0.4851,1,1.000,1.00
644,1.88,0.4929,1,1.000,1.00
654,1.92,0.5006,1,1.000,1.00
663,1.95,0.5094,1,1.000,1.00
672,1.99,0.5177,1,1.000,1.00
681,2.02,0.5261,1,1.000,1.00
688,2.05,0.5339,1,1.000,1.00
697,2.09,0.5413,1,1.000,1.00
705,2.12,0.5489,1,1.000,1.00
713,2.16,0.5565,1,1.000,1.00
722,2.19,0.5639,1,1.000,1.00
731,2.23,0.5724,1,1.000,1.00
740,2.27,0.5804,1,1.000,1.00
749,2.31,0.5886,1,1.000,1.00
757,2.34,0.5969,1,1.000,1.00
766,2.38,0.6048,1,1.000,1.00
775,2.42,0.6128,1,1.000,1.00
784,2.46,0.6208,1,1.000,1.00
792,2.50,0.6291,1,1.000,1.00
801,2.54,0.6371,1,1.000,1.00
