ms,speed,rpm,gear,throttle,mult
9,0.00,0.2000,1,0.000,1.00
20,0.02,0.2000,1,1.000,1.00
30,0.04,0.2000,1,1.000,1.00
39,0.06,0.2000,1,1.000,1.00
49,0.08,0.2000,1,1.000,1.00
58,0.10,0.2000,1,1.000,1.00
68,0.12,0.2000,1,1.000,1.00
78,0.14,0.2000,1,1.000,1.00
87,0.16,0.2000,1,1.000,1.00
97,0.18,0.2000,1,1.000,1.00
106,0.20,0.2000,1,1.000,1.00
115,0.23,0.2000,1,1.000,1.00
124,0.25,0.2000,1,1.000,1.00
133,0.27,0.2000,1,1.000,1.00
143,0.29,0.2000,1,1.000,1.00
152,0.31,0.2000,1,1.000,1.00
163,0.34,0.2042,1,1.000,1.00
174,0.36,0.2149,1,1.000,1.00
184,0.39,0.2255,1,1.000,1.00
195,0.42,0.2365,1,1.000,1.00
207,0.45,0.2488,1,1.000,1.00
219,0.48,0.2605,1,1.000,1.00
229,0.50,0.2707,1,1.000,1.00
242,0.54,0.2836,1,1.000,1.00
255,0.57,0.2963,1,1.000,1.00
265,0.60,0.3065,1,1.000,1.00
275,0.63,0.3165,1,1.000,1.00
285,0.65,0.3265,1,1.000,1.00
295,0.68,0.3361,1,1.000,1.00
305,0.71,0.3458,1,1.000,1.00
314,0.73,0.3552,1,1.000,1.00
323,0.76,0.3643,1,1.000,1.00
332,0.79,0.3734,1,1.000,1.00
341,0.81,0.3824,1,1.000,1.00
351,0.84,0.3919,1,1.000,1.00
360,0.87,0.4013,1,1.000,1.00
369,0.90,0.4107,1,1.000,1.00
379,0.93,0.4198,1,1.000,1.00
392,0.97,0.4328,1,1.000,1.00
402,1.00,0.4435,1,1.000,1.00
413,1.03,0.4542,1,1.000,1.00
424,1.07,0.4648,1,1.000,1.00
434,1.10,0.4750,1,1.000,1.00
445,1.14,0.4860,1,1.000,1.00
454,1.17,0.4953,1,1.000,1.00
464,1.20,0.5053,1,1.000,1.00
474,1.23,0.5148,1,1.000,1.00
483,1.27,0.5243,1,1.000,1.00
492,1.30,0.5335,1,1.000,1.00
502,1.33,0.5431,1,1.000,1.00
512,1.37,0.5534,1,1.000,1.00
523,1.41,0.5639,1,1.000,1.00
537,1.46,0.5781,1,1.000,1.00
551,1.51,0.5919,1,1.000,1.00
564,1.56,0.6049,1,1.000,1.00
577,1.61,0.6179,1,1.000,1.00
586,1.65,0.6278,1,1.000,1.00
597,1.69,0.6379,1,1.000,1.00
608,1.73,0.6488,1,1.000,1.00
620,1.78,0.6615,1,1.000,1.00
636,1.85,0.6776,1,1.000,1.00
648,1.90,0.6898,1,1.000,1.00
663,1.96,0.7039,1,1.000,1.00
677,2.02,0.7178,1,1.000,1.00
687,2.06,0.7281,1,1.000,1.00
696,2.10,0.7376,1,1.000,1.00
705,2.14,0.7462,1,1.000,1.00
714,2.18,0.7551,1,1.000,1.00
723,2.22,0.7641,1,1.000,1.00
732,2.26,0.7733,1,1.000,1.00
742,2.31,0.7830,1,1.000,1.00
755,2.37,0.7964,1,1.000,1.00
767,2.43,0.8081,1,1.000,1.00
777,2.48,0.8186,1,1.000,1.00
787,2.52,0.8281,1,1.000,1.00
796,2.57,0.8375,1,1.000,1.00
805,2.62,0.8465,1,1.000,1.00
814,2.66,0.8554,1,1.000,1.00
824,2.71,0.8648,1,1.000,1.00
833,2.76,0.8744,1,1.000,1.00
846,2.83,0.8873,1,1.000,1.00
857,2.88,0.8980,1,1.000,1.00
871,2.96,0.9126,1,1.000,1.00
882,3.02,0.9236,1,1.000,1.00
892,3.08,0.9337,1,1.000,1.00
903,3.14,0.9443,1,1.000,1.00
916,3.21,0.9574,1,1.000,1.00
930,3.29,0.9717,1,1.000,1.00
943,3.37,0.9843,1,1.000,1.00
954,3.43,0.9952,1,1.000,1.00
964,3.49,1.0000,1,1.000,1.00
975,3.56,1.0000,1,1.000,1.00
985,3.62,1.0000,1,1.000,1.00
998,3.71,1.0000,1,1.000,1.00
1010,3.78,1.0000,1,1.000,1.00
1019,3.84,1.0000,1,1.000,1.00
1030,3.91,1.0000,1,1.000,1.00
1040,3.98,1.0000,1,1.000,1.00
1049,4.04,1.0000,1,1.000,1.00
1059,4.11,1.0000,1,1.000,1.00
1071,4.19,1.0000,1,1.000,1.00
1082,4.27,1.0000,1,1.000,1.00
1091,4.33,1.0000,1,1.000,1.00
1100,4.40,1.0000,1,1.000,1.00
1110,4.47,1.0000,1,1.000,1.00
1119,4.54,1.0000,1,1.000,1.00
1128,4.61,1.0000,1,1.000,1.00
1138,4.68,1.0000,1,1.000,1.00
1148,4.76,1.0000,1,1.000,1.00
1159,4.84,1.0000,1,1.000,1.00
1169,4.92,1.0000,1,1.000,1.00
1179,4.99,1.0000,1,1.000,1.00
1188,5.07,1.0000,1,1.000,1.00
1199,5.16,1.0000,1,1.000,1.00
1208,5.23,1.0000,1,1.000,1.00
1218,5.31,1.0000,1,1.000,1.00
1227,5.39,1.0000,1,1.000,1.00
1237,5.47,1.0000,1,1.000,1.00
1247,5.55,1.0000,1,1.000,1.00
1256,5.63,1.0000,1,1.000,1.00
1267,5.72,1.0000,1,1.000,1.00
1277,5.81,1.0000,1,1.000,1.00
1287,5.90,1.0000,1,1.000,1.00
1298,6.01,1.0000,1,1.000,1.00
