ms,speed,rpm,gear,throttle,mult
9,0.09,0.2000,1,0.000,1.00
21,0.20,0.2000,1,1.000,1.00
32,0.32,0.2119,1,1.000,1.00
44,0.43,0.2236,1,1.000,1.00
55,0.54,0.2346,1,1.000,1.00
64,0.63,0.2438,1,1.000,1.00
74,0.73,0.2536,1,1.000,1.00
82,0.81,0.2618,1,1.000,1.00
90,0.89,0.2698,1,1.000,1.00
98,0.96,0.2776,1,1.000,1.00
108,1.05,0.2871,1,1.000,1.00
116,1.13,0.2952,1,1.000,1.00
124,1.21,0.3033,1,1.000,1.00
132,1.29,0.3113,1,1.000,1.00
140,1.36,0.3192,1,1.000,1.00
148,1.43,0.3276,1,1.000,1.00
156,1.47,0.3193,1,1.000,1.00
165,1.50,0.3106,1,1.000,1.00
173,1.52,0.3025,1,1.000,1.00
182,1.54,0.2940,1,1.000,1.00
191,1.55,0.2847,1,1.000,1.00
200,1.55,0.2760,1,1.000,1.00
209,1.54,0.2672,1,1.000,1.00
217,1.52,0.2585,1,1.000,1.00
225,1.50,0.2507,1,1.000,1.00
233,1.47,0.2427,1,1.000,1.00
242,1.44,0.2341,1,1.000,1.00
250,1.40,0.2260,1,1.000,1.00
258,1.35,0.2174,1,1.000,1.00
266,1.31,0.2094,1,1.000,1.00
274,1.26,0.2017,1,1.000,1.00
283,1.20,0.2036,1,1.000,1.00
293,1.13,0.2139,1,1.000,1.00
301,1.08,0.2217,1,1.000,1.00
309,1.02,0.2299,1,1.000,1.00
317,0.97,0.2379,1,1.000,1.00
325,0.92,0.2456,1,1.000,1.00
333,0.88,0.2535,1,1.000,1.00
340,0.84,0.2611,1,1.000,1.00
349,0.81,0.2695,1,1.000,1.00
357,0.79,0.2776,1,1.000,1.00
365,0.78,0.2859,1,1.000,1.00
373,0.78,0.2942,1,1.000,1.00
382,0.80,0.3028,1,1.000,1.00
390,0.82,0.3108,1,1.000,1.00
399,0.86,0.3198,1,1.000,1.00
408,0.90,0.3282,1,1.000,1.00
416,0.94,0.3368,1,1.000,1.00
425,0.99,0.3454,1,1.000,1.00
434,1.04,0.3544,1,1.000,1.00
442,1.08,0.3629,1,1.000,1.00
452,1.13,0.3725,1,1.000,1.00
460,1.18,0.3812,1,1.000,1.00
470,1.22,0.3905,1,1.000,1.00
478,1.26,0.3990,1,1.000,1.00
488,1.30,0.4089,1,1.000,1.00
496,1.33,0.4169,1,1.000,1.00
504,1.35,0.4247,1,1.000,1.00
512,1.38,0.4327,1,1.000,1.00
520,1.41,0.4411,1,1.000,1.00
529,1.43,0.4493,1,1.000,1.00
536,1.45,0.4571,1,1.000,1.00
