ms,speed,rpm,gear,throttle,mult
9,0.09,0.2000,1,0.000,1.00
17,0.17,0.2000,1,1.000,1.00
25,0.25,0.2082,1,1.000,1.00
33,0.33,0.2163,1,1.000,1.00
42,0.41,0.2252,1,1.000,1.00
52,0.51,0.2348,1,1.000,1.00
61,0.60,0.2442,1,1.000,1.00
70,0.69,0.2534,1,1.000,1.00
78,0.77,0.2613,1,1.000,1.00
86,0.84,0.2691,1,1.000,1.00
94,0.92,0.2768,1,1.000,1.00
102,1.00,0.2852,1,1.000,1.00
110,1.08,0.2932,1,1.000,1.00
118,1.16,0.3014,1,1.000,1.00
127,1.25,0.3102,1,1.000,1.00
137,1.34,0.3198,1,1.000,1.00
145,1.42,0.3278,1,1.000,1.00
153,1.47,0.3356,1,1.000,1.00
160,1.48,0.3432,1,1.000,1.00
168,1.49,0.3514,1,1.000,1.00
177,1.49,0.3600,1,1.000,1.00
186,1.48,0.3693,1,1.000,1.00
195,1.46,0.3779,1,1.000,1.00
204,1.43,0.3874,1,1.000,1.00
213,1.39,0.3961,1,1.000,1.00
221,1.35,0.4040,1,1.000,1.00
229,1.30,0.4121,1,1.000,1.00
237,1.25,0.4204,1,1.000,1.00
246,1.20,0.4294,1,1.000,1.00
255,1.14,0.4376,1,1.000,1.00
264,1.08,0.4471,1,1.000,1.00
273,1.02,0.4564,1,1.000,1.00
282,0.97,0.4650,1,1.000,1.00
291,0.93,0.4740,1,1.000,1.00
299,0.90,0.4822,1,1.000,1.00
308,0.88,0.4911,1,1.000,1.00
317,0.87,0.4997,1,1.000,1.00
325,0.87,0.5078,1,1.000,1.00
333,0.87,0.5159,1,1.000,1.00
342,0.91,0.5250,1,1.000,1.00
351,0.96,0.5341,1,1.000,1.00
360,1.02,0.5428,1,1.000,1.00
370,1.09,0.5534,1,1.000,1.00
379,1.14,0.5619,1,1.000,1.00
387,1.18,0.5700,1,1.000,1.00
396,1.23,0.5789,1,1.000,1.00
404,1.28,0.5869,1,1.000,1.00
412,1.32,0.5914,1,1.000,1.00
420,1.36,0.5931,1,1.000,1.00
430,1.40,0.5948,1,1.000,1.00
439,1.44,0.5967,1,1.000,1.00
447,1.47,0.5986,1,1.000,1.00
456,1.51,0.6003,1,1.000,1.00
465,1.54,0.6022,1,1.000,1.00
474,1.57,0.6041,1,1.000,1.00
482,1.60,0.6058,1,1.000,1.00
490,1.63,0.6075,1,1.000,1.00
499,1.65,0.6093,1,1.000,1.00
508,1.69,0.6110,1,1.000,1.00
517,1.71,0.6130,1,1.000,1.00
525,1.74,0.6148,1,1.000,1.00
534,1.77,0.6165,1,1.000,1.00
543,1.80,0.6183,1,1.000,1.00
551,1.82,0.6200,1,1.000,1.00
559,1.85,0.6217,1,1.000,1.00
568,1.88,0.6234,1,1.000,1.00
576,1.91,0.6252,1,1.000,1.00
585,1.94,0.6270,1,1.000,1.00
594,1.97,0.6288,1,1.000,1.00
603,2.00,0.6306,1,1.000,1.00
613,2.04,0.6324,1,1.000,1.00
621,2.08,0.6346,1,1.000,1.00
630,2.11,0.6363,1,1.000,1.00
639,2.14,0.6381,1,1.000,1.00
648,2.18,0.6400,1,1.000,1.00
656,2.21,0.6418,1,1.000,1.00
664,2.25,0.6434,1,1.000,1.00
672,2.28,0.6451,1,1.000,1.00
680,2.32,0.6468,1,1.000,1.00
688,2.35,0.6484,1,1.000,1.00
696,2.39,0.6501,1,1.000,1.00
706,2.44,0.6518,1,1.000,1.00
715,2.48,0.6537,1,1.000,1.00
724,2.53,0.6557,1,1.000,1.00
733,2.57,0.6575,1,1.000,1.00
744,2.63,0.6593,1,1.000,1.00
752,2.67,0.6615,1,1.000,1.00
761,2.72,0.6633,1,1.000,1.00
770,2.76,0.6651,1,1.000,1.00
778,2.81,0.6669,1,1.000,1.00
787,2.86,0.6686,1,1.000,1.00
795,2.90,0.6704,1,1.000,1.00
803,2.95,0.6721,1,1.000,1.00
811,3.00,0.6738,1,1.000,1.00
819,3.05,0.6755,1,1.000,1.00
828,3.09,0.6772,1,1.000,1.00
836,3.15,0.6789,1,1.000,1.00
846,3.21,0.6807,1,1.000,1.00
856,3.27,0.6827,1,1.000,1.00
867,3.33,0.6848,1,1.000,1.00
877,3.39,0.6870,1,1.000,1.00
886,3.45,0.6890,1,1.000,1.00
896,3.52,0.6910,1,1.000,1.00
908,3.60,0.6930,1,1.000,1.00
920,3.67,0.6956,1,1.000,1.00
931,3.74,0.6979,1,1.000,1.00
943,3.83,0.7002,1,1.000,1.00
955,3.91,0.7027,1,1.000,1.00
967,4.00,0.7053,1,1.000,1.00
978,4.07,0.7077,1,1.000,1.00
988,4.14,0.7099,1,1.000,1.00
997,4.21,0.7119,1,1.000,1.00
1006,4.28,0.7139,1,1.000,1.00
1014,4.34,0.7157,1,1.000,1.00
1023,4.41,0.7174,1,1.000,1.00
1031,4.47,0.7193,1,1.000,1.00
1039,4.53,0.7210,1,1.000,1.00
1048,4.59,0.7226,1,1.000,1.00
1057,4.66,0.7243,1,1.000,1.00
1066,4.73,0.7263,1,1.000,1.00
1075,4.80,0.7281,1,1.000,1.00
1083,4.86,0.7299,1,1.000,1.00
1091,4.93,0.7316,1,1.000,1.00
1100,5.00,0.7333,1,1.000,1.00
1108,5.07,0.7351,1,1.000,1.00
1116,5.14,0.7368,1,1.000,1.00
1124,5.20,0.7385,1,1.000,1.00
1133,5.28,0.7401,1,1.000,1.00
1143,5.36,0.7419,1,1.000,1.00
1151,5.43,0.7439,1,1.000,1.00
1159,5.51,0.7456,1,1.000,1.00
1169,5.59,0.7474,1,1.000,1.00
1178,5.68,0.7493,1,1.000,1.00
1187,5.76,0.7512,1,1.000,1.00
1196,5.84,0.7531,1,1.000,1.00
1204,5.92,0.7549,1,1.000,1.00
1213,6.00,0.7566,1,1.000,1.00
1221,6.09,0.7584,1,1.000,1.00
1229,6.17,0.7602,1,1.000,1.00
1239,6.25,0.7618,1,1.000,1.00
1248,6.35,0.7637,1,1.000,1.00
1257,6.44,0.7656,1,1.000,1.00
1268,6.55,0.7675,1,1.000,1.00
1278,6.65,0.7697,1,1.000,1.00
1287,6.75,0.7718,1,1.000,1.00
1296,6.84,0.7737,1,1.000,1.00
1305,6.94,0.7755,1,1.000,1.00
1314,7.04,0.7773,1,1.000,1.00
1322,7.13,0.7793,1,1.000,1.00
1332,7.24,0.7817,1,1.000,1.00
1342,7.36,0.7843,1,1.000,1.00
1351,7.46,0.7878,1,1.000,1.00
1360,7.56,0.7917,1,1.000,1.00
1368,7.66,0.8001,1,1.000,1.00
1376,7.76,0.8083,1,1.000,1.00
1384,7.86,0.8120,1,1.000,1.00
1394,7.98,0.8152,1,1.000,1.00
1404,8.10,0.8243,1,1.000,1.00
1413,8.21,0.8333,1,1.000,1.00
1421,8.32,0.8367,1,1.000,1.00
1430,8.44,0.8401,1,1.000,1.00
1439,8.56,0.8434,1,1.000,1.00
1448,8.68,0.8469,1,1.000,1.00
1456,8.79,0.8505,1,1.000,1.00
1466,8.91,0.8542,1,1.000,1.00
1475,9.03,0.8576,1,1.000,1.00
1483,9.15,0.8614,1,1.000,1.00
1492,9.26,0.8652,1,1.000,1.00
1501,9.39,0.8688,1,1.000,1.00
1510,9.52,0.8725,1,1.000,1.00
1518,9.62,0.8764,1,1.000,1.00
1526,9.74,0.8797,1,1.000,1.00
1535,9.87,0.8837,1,1.000,1.00
1543,10.00,0.8876,1,1.000,1.00
1552,10.13,0.8916,1,1.000,1.00
1560,10.25,0.8959,1,1.000,1.00
1569,10.39,0.8999,1,1.000,1.00
1578,10.53,0.9039,1,1.000,1.00
1587,10.67,0.9082,1,1.000,1.00
1595,10.79,0.9126,1,1.000,1.00
1603,10.93,0.9171,1,1.000,1.00
1612,11.07,0.9211,2,1.000,1.00
1626,11.30,0.9071,2,1.000,1.00
1636,11.46,0.8972,2,1.000,1.00
1645,11.62,0.8875,2,1.000,1.00
1654,11.76,0.8785,2,1.000,1.00
1664,11.92,0.8687,2,1.000,1.00
1673,12.07,0.8596,2,1.000,1.00
1683,12.22,0.8501,2,1.000,1.00
1693,12.39,0.8397,2,1.000,1.00
1704,12.57,0.8286,2,1.000,1.00
1716,12.77,0.8168,2,1.000,1.00
