ms,speed,rpm,gear,throttle,mult
9,0.05,0.8135,1,0.000,1.00
17,0.09,0.8053,1,1.000,1.00
25,0.13,0.7976,1,1.000,1.00
33,0.17,0.7891,1,1.000,1.00
42,0.21,0.7802,1,1.000,1.00
50,0.24,0.7721,1,1.000,1.00
59,0.27,0.7640,1,1.000,1.00
69,0.31,0.7537,1,1.000,1.00
78,0.33,0.7446,1,1.000,1.00
86,0.35,0.7366,1,1.000,1.00
94,0.37,0.7285,1,1.000,1.00
102,0.39,0.7208,1,1.000,1.00
110,0.41,0.7128,1,1.000,1.00
118,0.43,0.7050,1,1.000,1.00
125,0.44,0.6971,1,1.000,1.00
134,0.46,0.6888,1,1.000,1.00
141,0.48,0.6810,1,1.000,1.00
150,0.50,0.6722,1,1.000,1.00
159,0.52,0.6636,1,1.000,1.00
168,0.54,0.6548,1,1.000,1.00
176,0.55,0.6464,1,1.000,1.00
184,0.57,0.6383,1,1.000,1.00
193,0.59,0.6298,1,1.000,1.00
202,0.62,0.6205,1,1.000,1.00
211,0.64,0.6117,1,1.000,1.00
219,0.66,0.6034,1,1.000,1.00
227,0.68,0.5953,1,1.000,1.00
236,0.70,0.5865,1,1.000,1.00
244,0.73,0.5785,1,1.000,1.00
252,0.75,0.5706,1,1.000,1.00
259,0.77,0.5630,1,1.000,1.00
268,0.80,0.5550,1,1.000,1.00
275,0.82,0.5471,1,1.000,1.00
283,0.85,0.5395,1,1.000,1.00
291,0.87,0.5314,1,1.000,1.00
301,0.90,0.5217,1,1.000,1.00
309,0.93,0.5132,1,1.000,1.00
317,0.96,0.5050,1,1.000,1.00
326,0.99,0.4966,1,1.000,1.00
335,1.02,0.4876,1,1.000,1.00
343,1.05,0.4794,1,1.000,1.00
351,1.08,0.4800,1,1.000,1.00
359,1.11,0.4849,1,1.000,1.00
367,1.14,0.4897,1,1.000,1.00
375,1.18,0.4948,1,1.000,1.00
384,1.21,0.5000,1,1.000,1.00
392,1.24,0.5052,1,1.000,1.00
400,1.28,0.5105,1,1.000,1.00
408,1.31,0.5155,1,1.000,1.00
417,1.35,0.5205,1,1.000,1.00
426,1.39,0.5262,1,1.000,1.00
434,1.42,0.5315,1,1.000,1.00
443,1.46,0.5369,1,1.000,1.00
453,1.50,0.5423,1,1.000,1.00
461,1.54,0.5486,1,1.000,1.00
470,1.58,0.5537,1,1.000,1.00
478,1.62,0.5590,1,1.000,1.00
487,1.65,0.5641,1,1.000,1.00
495,1.69,0.5694,1,1.000,1.00
504,1.73,0.5746,1,1.000,1.00
512,1.77,0.5800,1,1.000,1.00
520,1.81,0.5852,1,1.000,1.00
528,1.85,0.5900,1,1.000,1.00
536,1.89,0.5952,1,1.000,1.00
544,1.93,0.6003,1,1.000,1.00
552,1.97,0.6055,1,1.000,1.00
560,2.01,0.6105,1,1.000,1.00
569,2.05,0.6155,1,1.000,1.00
577,2.09,0.6209,1,1.000,1.00
586,2.14,0.6258,1,1.000,1.00
594,2.19,0.6313,1,1.000,1.00
603,2.23,0.6366,1,1.000,1.00
610,2.27,0.6417,1,1.000,1.00
618,2.31,0.6466,1,1.000,1.00
626,2.36,0.6516,1,1.000,1.00
636,2.41,0.6565,1,1.000,1.00
644,2.46,0.6626,1,1.000,1.00
653,2.50,0.6677,1,1.000,1.00
661,2.55,0.6730,1,1.000,1.00
669,2.60,0.6778,1,1.000,1.00
677,2.64,0.6829,1,1.000,1.00
685,2.69,0.6882,1,1.000,1.00
694,2.74,0.6932,1,1.000,1.00
703,2.80,0.6988,1,1.000,1.00
710,2.84,0.7040,1,1.000,1.00
