ms,speed,rpm,gear,throttle,mult
9,0.07,0.2000,1,0.000,1.00
17,0.14,0.2000,1,1.000,1.00
25,0.20,0.2000,1,1.000,1.00
35,0.27,0.2000,1,1.000,1.00
43,0.33,0.2000,1,1.000,1.00
51,0.38,0.2000,1,1.000,1.00
59,0.43,0.2000,1,1.000,1.00
68,0.48,0.2000,1,1.000,1.00
76,0.53,0.2000,1,1.000,1.00
85,0.58,0.2000,1,1.000,1.00
93,0.63,0.2000,1,1.000,1.00
102,0.67,0.2000,1,1.000,1.00
109,0.71,0.2000,1,1.000,1.00
117,0.75,0.2000,1,1.000,1.00
127,0.80,0.2000,1,1.000,1.00
135,0.83,0.2000,1,1.000,1.00
144,0.87,0.2000,1,1.000,1.00
152,0.89,0.2000,1,1.000,1.00
160,0.90,0.2000,1,1.000,1.00
168,0.91,0.2000,1,1.000,1.00
176,0.92,0.2000,1,1.000,1.00
185,0.92,0.2000,1,1.000,1.00
193,0.90,0.2000,1,1.000,1.00
201,0.89,0.2000,1,1.000,1.00
210,0.87,0.2000,1,1.000,1.00
217,0.85,0.2000,1,1.000,1.00
225,0.82,0.2000,1,1.000,1.00
235,0.79,0.2000,1,1.000,1.00
243,0.75,0.2000,1,1.000,1.00
251,0.72,0.2000,1,1.000,1.00
259,0.69,0.2000,1,1.000,1.00
270,0.66,0.2000,1,1.000,1.00
281,0.63,0.2000,1,1.000,1.00
290,0.62,0.2000,1,1.000,1.00
300,0.62,0.2000,1,1.000,1.00
312,0.63,0.2000,1,1.000,1.00
324,0.66,0.2000,1,1.000,1.00
338,0.72,0.2000,1,1.000,1.00
351,0.78,0.2000,1,1.000,1.00
364,0.85,0.2000,1,1.000,1.00
374,0.89,0.2000,1,1.000,1.00
385,0.95,0.2000,1,1.000,1.00
397,1.00,0.2000,1,1.000,1.00
407,1.05,0.2000,1,1.000,1.00
417,1.09,0.2000,1,1.000,1.00
428,1.14,0.2000,1,1.000,1.00
438,1.17,0.2000,1,1.000,1.00
446,1.20,0.2000,1,1.000,1.00
455,1.24,0.2000,1,1.000,1.00
464,1.27,0.2000,1,1.000,1.00
472,1.30,0.2000,1,1.000,1.00
482,1.33,0.2000,1,1.000,1.00
491,1.36,0.2000,1,1.000,1.00
500,1.39,0.2000,1,1.000,1.00
509,1.42,0.2000,1,1.000,1.00
521,1.47,0.2000,1,1.000,1.00
532,1.50,0.2000,1,1.000,1.00
541,1.53,0.2000,1,1.000,1.00
550,1.57,0.2000,1,1.000,1.00
559,1.60,0.2026,1,1.000,1.00
568,1.63,0.2070,1,1.000,1.00
576,1.66,0.2114,1,1.000,1.00
585,1.69,0.2154,1,1.000,1.00
595,1.73,0.2196,1,1.000,1.00
604,1.77,0.2243,1,1.000,1.00
612,1.80,0.2284,1,1.000,1.00
622,1.84,0.2327,1,1.000,1.00
630,1.87,0.2371,1,1.000,1.00
641,1.92,0.2411,1,1.000,1.00
651,1.97,0.2463,1,1.000,1.00
660,2.00,0.2515,1,1.000,1.00
672,2.06,0.2557,1,1.000,1.00
681,2.10,0.2612,1,1.000,1.00
692,2.15,0.2655,1,1.000,1.00
701,2.19,0.2710,1,1.000,1.00
710,2.24,0.2754,1,1.000,1.00
718,2.28,0.2795,1,1.000,1.00
729,2.33,0.2837,1,1.000,1.00
737,2.38,0.2887,1,1.000,1.00
747,2.42,0.2928,1,1.000,1.00
756,2.47,0.2973,1,1.000,1.00
765,2.52,0.3016,1,1.000,1.00
774,2.57,0.3060,1,1.000,1.00
783,2.62,0.3105,1,1.000,1.00
792,2.66,0.3149,1,1.000,1.00
801,2.71,0.3192,1,1.000,1.00
810,2.76,0.3233,1,1.000,1.00
818,2.81,0.3276,1,1.000,1.00
827,2.86,0.3317,1,1.000,1.00
836,2.91,0.3360,1,1.000,1.00
844,2.96,0.3403,1,1.000,1.00
853,3.01,0.3442,1,1.000,1.00
862,3.06,0.3485,1,1.000,1.00
871,3.12,0.3527,1,1.000,1.00
880,3.17,0.3570,1,1.000,1.00
889,3.23,0.3612,1,1.000,1.00
898,3.28,0.3656,1,1.000,1.00
906,3.34,0.3699,1,1.000,1.00
916,3.40,0.3742,1,1.000,1.00
926,3.46,0.3788,1,1.000,1.00
934,3.52,0.3833,1,1.000,1.00
943,3.57,0.3876,1,1.000,1.00
951,3.63,0.3915,1,1.000,1.00
959,3.68,0.3957,1,1.000,1.00
968,3.74,0.3996,1,1.000,1.00
977,3.80,0.4038,1,1.000,1.00
986,3.86,0.4081,1,1.000,1.00
996,3.94,0.4123,1,1.000,1.00
1006,4.00,0.4173,1,1.000,1.00
1015,4.07,0.4219,1,1.000,1.00
1023,4.13,0.4262,1,1.000,1.00
1032,4.19,0.4303,1,1.000,1.00
1041,4.26,0.4346,1,1.000,1.00
1050,4.33,0.4386,1,1.000,1.00
1059,4.40,0.4432,1,1.000,1.00
1067,4.46,0.4475,1,1.000,1.00
1076,4.53,0.4516,1,1.000,1.00
1085,4.60,0.4559,1,1.000,1.00
1096,4.68,0.4601,1,1.000,1.00
1106,4.76,0.4652,1,1.000,1.00
1116,4.84,0.4700,1,1.000,1.00
1125,4.91,0.4748,1,1.000,1.00
1133,4.98,0.4790,1,1.000,1.00
1142,5.05,0.4833,1,1.000,1.00
1151,5.12,0.4875,1,1.000,1.00
1159,5.19,0.4916,1,1.000,1.00
1168,5.27,0.4955,1,1.000,1.00
1176,5.34,0.4998,1,1.000,1.00
1186,5.42,0.5039,1,1.000,1.00
1194,5.50,0.5084,1,1.000,1.00
1202,5.57,0.5125,1,1.000,1.00
1210,5.64,0.5165,1,1.000,1.00
1218,5.72,0.5203,1,1.000,1.00
1227,5.80,0.5241,1,1.000,1.00
1236,5.88,0.5282,1,1.000,1.00
1244,5.96,0.5325,1,1.000,1.00
1254,6.05,0.5363,1,1.000,1.00
1263,6.14,0.5412,1,1.000,1.00
1271,6.23,0.5456,1,1.000,1.00
1280,6.31,0.5496,1,1.000,1.00
1289,6.40,0.5536,1,1.000,1.00
1297,6.49,0.5580,1,1.000,1.00
1306,6.58,0.5622,1,1.000,1.00
1314,6.67,0.5662,1,1.000,1.00
1323,6.76,0.5704,1,1.000,1.00
1332,6.86,0.5750,1,1.000,1.00
1340,6.95,0.5804,1,1.000,1.00
1349,7.04,0.5862,1,1.000,1.00
1357,7.14,0.5918,1,1.000,1.00
1366,7.23,0.5975,1,1.000,1.00
1374,7.33,0.6032,1,1.000,1.00
1382,7.42,0.6089,1,1.000,1.00
1391,7.52,0.6144,1,1.000,1.00
1400,7.62,0.6201,1,1.000,1.00
1409,7.74,0.6261,1,1.000,1.00
1418,7.84,0.6325,1,1.000,1.00
1427,7.95,0.6389,1,1.000,1.00
1436,8.07,0.6449,1,1.000,1.00
1445,8.19,0.6514,1,1.000,1.00
1456,8.33,0.6581,1,1.000,1.00
1469,8.50,0.6653,1,1.000,1.00
1480,8.66,0.6766,1,1.000,1.00
1495,8.86,0.6911,1,1.000,1.00
1507,9.03,0.7032,1,1.000,1.00
1517,9.18,0.7137,1,1.000,1.00
1528,9.33,0.7242,1,1.000,1.00
1537,9.46,0.7334,1,1.000,1.00
1546,9.59,0.7425,1,1.000,1.00
1556,9.74,0.7528,1,1.000,1.00
1567,9.90,0.7634,1,1.000,1.00
1576,10.05,0.7720,1,1.000,1.00
1585,10.18,0.7801,1,1.000,1.00
1593,10.33,0.7873,1,1.000,1.00
1602,10.47,0.7943,1,1.000,1.00
1611,10.63,0.8016,1,1.000,1.00
1620,10.80,0.8090,1,1.000,1.00
1629,10.95,0.8005,1,1.000,1.00
1638,11.11,0.7966,1,1.000,1.00
1647,11.27,0.8058,1,1.000,1.00
1656,11.45,0.8154,1,1.000,1.00
1665,11.61,0.8239,1,1.000,1.00
1673,11.77,0.8324,1,1.000,1.00
1682,11.93,0.8406,1,1.000,1.00
1690,12.10,0.8319,1,1.000,1.00
1700,12.30,0.8218,1,1.000,1.00
1710,12.49,0.8123,1,1.000,1.00
1718,12.65,0.8040,1,1.000,1.00
1727,12.83,0.7950,1,1.000,1.00
1736,13.00,0.7865,1,1.000,1.00
1744,13.17,0.7780,1,1.000,1.00
1753,13.35,0.7692,1,1.000,1.00
1762,13.53,0.7600,1,1.000,1.00
1771,13.71,0.7512,1,1.000,1.00
1780,13.88,0.7427,1,1.000,1.00
1789,14.07,0.7335,1,1.000,1.00
1797,14.25,0.7251,1,1.000,1.00
1805,14.41,0.7171,1,1.000,1.00
1814,14.59,0.7087,1,1.000,1.00
1822,14.76,0.7003,1,1.000,1.00
1830,14.93,0.6919,1,1.000,1.00
1839,15.09,0.6837,1,1.000,1.00
1848,15.25,0.6748,1,1.000,1.00
1856,15.41,0.6664,1,1.000,1.00
1865,15.56,0.6578,1,1.000,1.00
1873,15.70,0.6496,1,1.000,1.00
1881,15.84,0.6412,1,1.000,1.00
1890,15.97,0.6423,1,1.000,1.00
1898,16.10,0.6474,1,1.000,1.00
1906,16.23,0.6525,1,1.000,1.00
1917,16.38,0.6573,1,1.000,1.00
1928,16.53,0.6618,1,1.000,1.00
1937,16.65,0.6672,1,1.000,1.00
1946,16.77,0.6731,1,1.000,1.00
1956,16.89,0.6774,1,1.000,1.00
1964,16.99,0.6818,1,1.000,1.00
1973,17.09,0.6863,1,1.000,1.00
1981,17.19,0.6899,1,1.000,1.00
1989,17.29,0.6939,1,1.000,1.00
1999,17.39,0.6973,1,1.000,1.00
2008,17.49,0.7010,1,1.000,1.00
2017,17.58,0.7048,1,1.000,1.00
2026,17.68,0.7086,1,1.000,1.00
2035,17.77,0.7119,1,1.000,1.00
2044,17.85,0.7154,1,1.000,1.00
2052,17.93,0.7188,1,1.000,1.00
2060,18.01,0.7218,1,1.000,1.00
2069,18.08,0.7248,1,1.000,1.00
2077,18.15,0.7276,1,1.000,1.00
2085,18.23,0.7305,1,1.000,1.00
2093,18.29,0.7332,1,1.000,1.00
2101,18.36,0.7359,1,1.000,1.00
2110,18.43,0.7385,1,1.000,1.00
2120,18.51,0.7402,1,1.000,1.00
2129,18.58,0.7435,1,1.000,1.00
2138,18.65,0.7464,1,1.000,1.00
2147,18.71,0.7491,1,1.000,1.00
2156,18.78,0.7517,1,1.000,1.00
2165,18.84,0.7541,1,1.000,1.00
2174,18.91,0.7567,1,1.000,1.00
2182,18.96,0.7592,1,1.000,1.00
2191,19.02,0.7617,1,1.000,1.00
2199,19.08,0.7638,1,1.000,1.00
2208,19.14,0.7661,1,1.000,1.00
2217,19.20,0.7683,1,1.000,1.00
2227,19.26,0.7705,1,1.000,1.00
2236,19.32,0.7729,1,1.000,1.00
2244,19.37,0.7754,1,1.000,1.00
2253,19.42,0.7777,1,1.000,1.00
2263,19.48,0.7797,1,1.000,1.00
2272,19.54,0.7817,1,1.000,1.00
2280,19.59,0.7840,1,1.000,1.00
2289,19.64,0.7862,1,1.000,1.00
2298,19.70,0.7883,1,1.000,1.00
2306,19.75,0.7903,1,1.000,1.00
2315,19.79,0.7923,1,1.000,1.00
2323,19.84,0.7943,1,1.000,1.00
2331,19.89,0.7962,1,1.000,1.00
2339,19.93,0.7980,1,1.000,1.00
2347,19.98,0.7999,1,1.000,1.00
2356,20.03,0.8016,1,1.000,1.00
2364,20.08,0.8034,1,1.000,1.00
2373,20.12,0.8053,1,1.000,1.00
2381,20.17,0.8072,1,1.000,1.00
2391,20.22,0.8090,1,1.000,1.00
2400,20.27,0.8108,1,1.000,1.00
2409,20.32,0.8129,1,1.000,1.00
2417,20.36,0.8147,1,1.000,1.00
2425,20.40,0.8166,1,1.000,1.00
2433,20.44,0.8181,1,1.000,1.00
2443,20.49,0.8198,1,1.000,1.00
2451,20.53,0.8215,1,1.000,1.00
2459,20.57,0.8233,1,1.000,1.00
2467,20.62,0.8251,1,1.000,1.00
2477,20.67,0.8269,1,1.000,1.00
2486,20.71,0.8286,1,1.000,1.00
2496,20.76,0.8304,1,1.000,1.00
2505,20.81,0.8322,1,1.000,1.00
2513,20.85,0.8341,1,1.000,1.00
2523,20.90,0.8358,1,1.000,1.00
2531,20.94,0.8375,1,1.000,1.00
2540,20.98,0.8393,1,1.000,1.00
2549,21.03,0.8409,1,1.000,1.00
2558,21.07,0.8427,1,1.000,1.00
2566,21.11,0.8443,1,1.000,1.00
2574,21.15,0.8459,1,1.000,1.00
2583,21.19,0.8476,1,1.000,1.00
2593,21.23,0.8490,1,1.000,1.00
2603,21.28,0.8507,1,1.000,1.00
2614,21.33,0.8523,1,1.000,1.00
2627,21.39,0.8543,1,1.000,1.00
2638,21.44,0.8562,1,1.000,1.00
2648,21.48,0.8586,1,1.000,1.00
2658,21.53,0.8605,1,1.000,1.00
2668,21.57,0.8623,1,1.000,1.00
2678,21.62,0.8640,1,1.000,1.00
2687,21.65,0.8658,1,1.000,1.00
2696,21.69,0.8675,1,1.000,1.00
2705,21.73,0.8690,1,1.000,1.00
2714,21.77,0.8706,1,1.000,1.00
2723,21.81,0.8722,1,1.000,1.00
2731,21.85,0.8737,1,1.000,1.00
2741,21.89,0.8751,1,1.000,1.00
2750,21.92,0.8760,1,1.000,1.00
2760,21.97,0.8780,1,1.000,1.00
2768,22.00,0.8795,1,1.000,1.00
2776,22.03,0.8812,1,1.000,1.00
2784,22.06,0.8824,1,1.000,1.00
2793,22.10,0.8837,1,1.000,1.00
2804,22.14,0.8851,1,1.000,1.00
2812,22.18,0.8865,1,1.000,1.00
2821,22.21,0.8882,1,1.000,1.00
2829,22.24,0.8896,1,1.000,1.00
2838,22.28,0.8908,1,1.000,1.00
2846,22.31,0.8922,1,1.000,1.00
2854,22.34,0.8935,1,1.000,1.00
2863,22.38,0.8948,1,1.000,1.00
2872,22.41,0.8960,1,1.000,1.00
2880,22.44,0.8974,1,1.000,1.00
2888,22.48,0.8987,1,1.000,1.00
2897,22.51,0.8999,1,1.000,1.00
2906,22.54,0.9013,1,1.000,1.00
2914,22.57,0.9026,1,1.000,1.00
2923,22.61,0.9039,1,1.000,1.00
2932,22.64,0.9052,1,1.000,1.00
2940,22.67,0.9064,1,1.000,1.00
2949,22.71,0.9078,1,1.000,1.00
2958,22.74,0.9090,1,1.000,1.00
2966,22.77,0.9103,1,1.000,1.00
2974,22.80,0.9116,1,1.000,1.00
2982,22.83,0.9127,1,1.000,1.00
2991,22.86,0.9139,1,1.000,1.00
2999,22.89,0.9151,1,1.000,1.00
3008,22.92,0.9163,1,1.000,1.00
3016,22.95,0.9175,1,1.000,1.00
3026,22.98,0.9187,1,1.000,1.00
3034,23.01,0.9199,1,1.000,1.00
3042,23.04,0.9212,2,1.000,1.00
3052,23.08,0.9223,2,1.000,1.00
3062,23.11,0.9235,2,1.000,1.00
3070,23.14,0.9249,2,1.000,1.00
3078,23.17,0.9263,2,1.000,1.00
3086,23.20,0.9274,2,1.000,1.00
3095,23.22,0.9285,2,1.000,1.00
3104,23.26,0.9296,2,1.000,1.00
3113,23.29,0.9308,2,1.000,1.00
3122,23.32,0.9320,2,1.000,1.00
3131,23.35,0.9332,2,1.000,1.00
3140,23.38,0.9343,2,1.000,1.00
3149,23.41,0.9356,2,1.000,1.00
3158,23.44,0.9368,2,1.000,1.00
3167,23.47,0.9380,2,1.000,1.00
3176,23.50,0.9391,2,1.000,1.00
3185,23.53,0.9402,2,1.000,1.00
3193,23.55,0.9414,2,1.000,1.00
3202,23.58,0.9425,2,1.000,1.00
3210,23.61,0.9437,2,1.000,1.00
3220,23.64,0.9448,2,1.000,1.00
3229,23.67,0.9459,2,1.000,1.00
3237,23.69,0.9470,2,1.000,1.00
3246,23.72,0.9482,2,1.000,1.00
3254,23.75,0.9492,2,1.000,1.00
3263,23.78,0.9503,2,1.000,1.00
3271,23.80,0.9513,2,1.000,1.00
3279,23.83,0.9525,2,1.000,1.00
3288,23.86,0.9534,2,1.000,1.00
3297,23.88,0.9544,2,1.000,1.00
3305,23.91,0.9556,2,1.000,1.00
3313,23.93,0.9567,2,1.000,1.00
3321,23.96,0.9576,2,1.000,1.00
3329,23.98,0.9586,2,1.000,1.00
3337,24.01,0.9595,2,1.000,1.00
3345,24.03,0.9605,2,1.000,1.00
3354,24.06,0.9615,2,1.000,1.00
3362,24.08,0.9625,2,1.000,1.00
3371,24.11,0.9635,2,1.000,1.00
3379,24.13,0.9645,2,1.000,1.00
3387,24.16,0.9655,2,1.000,1.00
3396,24.18,0.9662,2,1.000,1.00
3405,24.21,0.9675,2,1.000,1.00
3414,24.23,0.9685,2,1.000,1.00
3422,24.26,0.9695,2,1.000,1.00
3430,24.28,0.9704,2,1.000,1.00
3438,24.31,0.9714,2,1.000,1.00
3446,24.33,0.9723,2,1.000,1.00
3455,24.35,0.9732,2,1.000,1.00
3464,24.38,0.9741,2,1.000,1.00
3474,24.41,0.9646,2,1.000,1.00
3483,24.43,0.9554,2,1.000,1.00
3493,24.46,0.9457,2,1.000,1.00
3502,24.49,0.9370,2,1.000,1.00
3510,24.51,0.9281,2,1.000,1.00
3520,24.54,0.9188,2,1.000,1.00
3529,24.57,0.9094,2,1.000,1.00
3538,24.59,0.9008,2,1.000,1.00
3546,24.62,0.8927,2,1.000,1.00
3555,24.64,0.8835,2,1.000,1.00
3563,24.67,0.8754,2,1.000,1.00
3572,24.70,0.8670,2,1.000,1.00
3580,24.72,0.8591,2,1.000,1.00
3588,24.75,0.8504,2,1.000,1.00
3597,24.78,0.8417,2,1.000,1.00
3606,24.81,0.8326,2,1.000,1.00
3615,24.84,0.8235,2,1.000,1.00
3624,24.86,0.8149,2,1.000,1.00
3633,24.89,0.8059,2,1.000,1.00
3641,24.92,0.7974,2,1.000,1.00
3650,24.95,0.7885,2,1.000,1.00
3659,24.98,0.7799,2,1.000,1.00
3667,25.01,0.7717,2,1.000,1.00
3675,25.03,0.7631,2,1.000,1.00
3685,25.07,0.7537,2,1.000,1.00
3695,25.10,0.7440,2,1.000,1.00
3704,25.13,0.7343,2,1.000,1.00
3713,25.16,0.7253,2,1.000,1.00
3722,25.19,0.7167,2,1.000,1.00
3731,25.21,0.7113,2,1.000,1.00
3740,25.24,0.7120,2,1.000,1.00
3749,25.27,0.7129,2,1.000,1.00
3758,25.30,0.7137,2,1.000,1.00
3767,25.33,0.7144,2,1.000,1.00
3775,25.35,0.7152,2,1.000,1.00
3784,25.38,0.7160,2,1.000,1.00
3793,25.41,0.7168,2,1.000,1.00
3802,25.44,0.7175,2,1.000,1.00
3811,25.47,0.7183,2,1.000,1.00
3821,25.50,0.7191,2,1.000,1.00
3830,25.52,0.7200,2,1.000,1.00
3838,25.55,0.7209,2,1.000,1.00
3846,25.57,0.7218,2,1.000,1.00
3854,25.60,0.7226,2,1.000,1.00
3863,25.63,0.7233,2,1.000,1.00
3872,25.65,0.7241,2,1.000,1.00
3882,25.68,0.7249,2,1.000,1.00
3891,25.71,0.7257,2,1.000,1.00
3900,25.74,0.7266,2,1.000,1.00
3909,25.77,0.7274,2,1.000,1.00
3919,25.79,0.7282,2,1.000,1.00
3927,25.82,0.7289,2,1.000,1.00
3936,25.85,0.7296,2,1.000,1.00
3944,25.87,0.7302,2,1.000,1.00
3952,25.89,0.7309,2,1.000,1.00
3960,25.92,0.7315,2,1.000,1.00
3968,25.94,0.7320,2,1.000,1.00
3976,25.97,0.7327,2,1.000,1.00
3984,25.99,0.7333,2,1.000,1.00
3993,26.02,0.7339,2,1.000,1.00
4001,26.04,0.7345,2,1.000,1.00
4009,26.06,0.7352,2,1.000,1.00
4018,26.10,0.7361,2,1.000,1.00
4027,26.13,0.7374,2,1.000,1.00
4036,26.16,0.7383,2,1.000,1.00
4044,26.19,0.7391,2,1.000,1.00
4052,26.22,0.7401,2,1.000,1.00
4060,26.25,0.7409,2,1.000,1.00
4068,26.27,0.7415,2,1.000,1.00
4076,26.30,0.7423,2,1.000,1.00
4084,26.33,0.7429,2,1.000,1.00
4092,26.36,0.7436,2,1.000,1.00
4100,26.39,0.7443,2,1.000,1.00
4109,26.41,0.7450,2,1.000,1.00
4117,26.44,0.7457,2,1.000,1.00
4126,26.47,0.7464,2,1.000,1.00
4135,26.50,0.7471,2,1.000,1.00
4144,26.53,0.7479,2,1.000,1.00
4152,26.55,0.7488,2,1.000,1.00
4161,26.58,0.7496,2,1.000,1.00
4169,26.61,0.7504,2,1.000,1.00
4177,26.63,0.7511,2,1.000,1.00
4185,26.65,0.7519,2,1.000,1.00
4193,26.68,0.7526,2,1.000,1.00
4201,26.71,0.7534,2,1.000,1.00
4209,26.73,0.7542,2,1.000,1.00
4216,26.75,0.7549,2,1.000,1.00
4225,26.78,0.7556,2,1.000,1.00
4234,26.81,0.7563,2,1.000,1.00
4242,26.83,0.7571,2,1.000,1.00
4250,26.86,0.7586,2,1.000,1.00
4259,26.90,0.7598,2,1.000,1.00
4268,26.93,0.7608,2,1.000,1.00
4276,26.96,0.7616,2,1.000,1.00
4284,26.99,0.7626,2,1.000,1.00
