ms,speed,rpm,gear,throttle,mult
8,0.00,0.2000,1,0.000,1.00
16,0.03,0.2000,1,1.000,1.00
24,0.05,0.2000,1,1.000,1.00
32,0.08,0.2000,1,1.000,1.00
40,0.10,0.2000,1,1.000,1.00
50,0.13,0.2000,1,1.000,1.00
58,0.15,0.2000,1,1.000,1.00
66,0.17,0.2000,1,1.000,1.00
75,0.20,0.2000,1,1.000,1.00
84,0.22,0.2000,1,1.000,1.00
93,0.25,0.2000,1,1.000,1.00
102,0.28,0.2000,1,1.000,1.00
109,0.30,0.2000,1,1.000,1.00
117,0.32,0.2000,1,1.000,1.00
126,0.35,0.2000,1,1.000,1.00
134,0.37,0.2000,1,1.000,1.00
142,0.40,0.2000,1,1.000,1.00
151,0.43,0.2000,1,1.000,1.00
159,0.46,0.2000,1,1.000,1.00
168,0.48,0.2000,1,1.000,1.00
176,0.51,0.2000,1,1.000,1.00
186,0.55,0.2000,1,1.000,1.00
195,0.58,0.2000,1,1.000,1.00
203,0.61,0.2000,1,1.000,1.00
212,0.64,0.2000,1,1.000,1.00
220,0.68,0.2000,1,1.000,1.00
229,0.71,0.2000,1,1.000,1.00
237,0.74,0.2000,1,1.000,1.00
244,0.77,0.2000,1,1.000,1.00
252,0.81,0.2000,1,1.000,1.00
260,0.84,0.2000,1,1.000,1.00
269,0.88,0.2000,1,1.000,1.00
281,0.93,0.2000,1,1.000,1.00
290,0.97,0.2000,1,1.000,1.00
299,1.01,0.2000,1,1.000,1.00
308,1.05,0.2000,1,1.000,1.00
318,1.09,0.2000,1,1.000,1.00
326,1.13,0.2000,1,1.000,1.00
334,1.17,0.2028,1,1.000,1.00
342,1.21,0.2082,1,1.000,1.00
350,1.25,0.2135,1,1.000,1.00
358,1.29,0.2186,1,1.000,1.00
366,1.33,0.2240,1,1.000,1.00
375,1.38,0.2293,1,1.000,1.00
384,1.42,0.2354,1,1.000,1.00
394,1.47,0.2414,1,1.000,1.00
401,1.51,0.2475,1,1.000,1.00
410,1.56,0.2527,1,1.000,1.00
419,1.61,0.2581,1,1.000,1.00
427,1.65,0.2644,1,1.000,1.00
436,1.70,0.2696,1,1.000,1.00
444,1.75,0.2753,1,1.000,1.00
452,1.79,0.2805,1,1.000,1.00
461,1.85,0.2862,1,1.000,1.00
469,1.89,0.2921,1,1.000,1.00
478,1.94,0.2974,1,1.000,1.00
486,2.00,0.3030,1,1.000,1.00
495,2.05,0.3086,1,1.000,1.00
505,2.11,0.3142,1,1.000,1.00
514,2.17,0.3206,1,1.000,1.00
522,2.22,0.3266,1,1.000,1.00
531,2.28,0.3319,1,1.000,1.00
539,2.33,0.3379,1,1.000,1.00
548,2.39,0.3434,1,1.000,1.00
556,2.44,0.3490,1,1.000,1.00
564,2.50,0.3545,1,1.000,1.00
572,2.55,0.3600,1,1.000,1.00
581,2.62,0.3651,1,1.000,1.00
590,2.67,0.3711,1,1.000,1.00
598,2.73,0.3766,1,1.000,1.00
606,2.79,0.3819,1,1.000,1.00
615,2.86,0.3873,1,1.000,1.00
627,2.95,0.3936,1,1.000,1.00
636,3.02,0.4012,1,1.000,1.00
646,3.10,0.4073,1,1.000,1.00
659,3.19,0.4139,1,1.000,1.00
670,3.28,0.4221,1,1.000,1.00
680,3.37,0.4295,1,1.000,1.00
693,3.47,0.4365,1,1.000,1.00
704,3.56,0.4447,1,1.000,1.00
714,3.66,0.4518,1,1.000,1.00
726,3.76,0.4589,1,1.000,1.00
735,3.84,0.4665,1,1.000,1.00
744,3.92,0.4723,1,1.000,1.00
753,4.00,0.4787,1,1.000,1.00
763,4.09,0.4846,1,1.000,1.00
772,4.18,0.4908,1,1.000,1.00
781,4.26,0.4967,1,1.000,1.00
790,4.35,0.5027,1,1.000,1.00
798,4.43,0.5084,1,1.000,1.00
806,4.51,0.5138,1,1.000,1.00
815,4.61,0.5231,1,1.000,1.00
824,4.70,0.5302,1,1.000,1.00
834,4.80,0.5368,1,1.000,1.00
842,4.89,0.5433,1,1.000,1.00
853,5.00,0.5498,1,1.000,1.00
862,5.10,0.5570,1,1.000,1.00
871,5.20,0.5639,1,1.000,1.00
881,5.32,0.5708,1,1.000,1.00
890,5.42,0.5786,1,1.000,1.00
899,5.52,0.5863,1,1.000,1.00
908,5.61,0.5936,1,1.000,1.00
916,5.71,0.6007,1,1.000,1.00
925,5.81,0.6077,1,1.000,1.00
