ms,speed,rpm,gear,throttle,mult
21,0.20,0.2000,1,0.000,1.00
40,0.39,0.2000,1,1.000,1.00
58,0.57,0.2179,1,1.000,1.00
76,0.74,0.2360,1,1.000,1.00
93,0.91,0.2531,1,1.000,1.00
114,1.06,0.2740,1,1.000,1.00
130,1.15,0.2577,1,1.000,1.00
146,1.20,0.2418,1,1.000,1.00
164,1.22,0.2240,1,1.000,1.00
180,1.25,0.2078,1,1.000,1.00
198,1.22,0.2000,1,1.000,1.00
214,1.20,0.2000,1,1.000,1.00
233,1.13,0.2000,1,1.000,1.00
250,1.06,0.2000,1,1.000,1.00
265,1.01,0.2000,1,1.000,1.00
282,0.94,0.2050,1,1.000,1.00
298,0.88,0.2218,1,1.000,1.00
314,0.86,0.2376,1,1.000,1.00
330,0.85,0.2533,1,1.000,1.00
350,0.88,0.2732,1,1.000,1.00
366,0.94,0.2895,1,1.000,1.00
382,1.02,0.3058,1,1.000,1.00
400,1.12,0.3232,1,1.000,1.00
414,1.20,0.3375,1,1.000,1.00
431,1.29,0.3545,1,1.000,1.00
447,1.39,0.3708,1,1.000,1.00
465,1.47,0.3888,1,1.000,1.00
483,1.55,0.4063,1,1.000,1.00
499,1.63,0.4220,1,1.000,1.00
514,1.69,0.4378,1,1.000,1.00
531,1.75,0.4542,1,1.000,1.00
548,1.81,0.4709,1,1.000,1.00
563,1.87,0.4867,1,1.000,1.00
580,1.91,0.5034,1,1.000,1.00
597,1.97,0.5207,1,1.000,1.00
616,2.03,0.5390,1,1.000,1.00
631,2.09,0.5548,1,1.000,1.00
646,2.13,0.5695,1,1.000,1.00
665,2.19,0.5888,1,1.000,1.00
683,2.25,0.6065,1,1.000,1.00
700,2.31,0.6233,1,1.000,1.00
716,2.37,0.6391,1,1.000,1.00
732,2.43,0.6549,1,1.000,1.00
747,2.49,0.6707,1,1.000,1.00
763,2.56,0.6861,1,1.000,1.00
777,2.62,0.7007,1,1.000,1.00
793,2.69,0.7165,1,1.000,1.00
809,2.76,0.7326,1,1.000,1.00
824,2.83,0.7474,1,1.000,1.00
840,2.90,0.7632,1,1.000,1.00
857,2.98,0.7804,1,1.000,1.00
873,3.06,0.7965,1,1.000,1.00
889,3.14,0.8122,1,1.000,1.00
905,3.21,0.8279,1,1.000,1.00
924,3.31,0.8473,1,1.000,1.00
939,3.39,0.8620,1,1.000,1.00
954,3.47,0.8778,1,1.000,1.00
970,3.56,0.8932,1,1.000,1.00
986,3.65,0.9095,1,1.000,1.00
1003,3.74,0.9263,1,1.000,1.00
1023,3.86,0.9463,1,1.000,1.00
1040,3.96,0.9634,1,1.000,1.00
1063,4.09,0.9861,1,1.000,1.00
1077,4.18,1.0000,1,1.000,1.00
1098,4.31,1.0000,1,1.000,1.00
1117,4.43,1.0000,1,1.000,1.00
1134,4.55,1.0000,1,1.000,1.00
1150,4.65,1.0000,1,1.000,1.00
1166,4.75,1.0000,1,1.000,1.00
1183,4.87,1.0000,1,1.000,1.00
1200,4.99,1.0000,1,1.000,1.00
1219,5.12,1.0000,1,1.000,1.00
1236,5.24,1.0000,1,1.000,1.00
1253,5.36,1.0000,1,1.000,1.00
1269,5.48,1.0000,1,1.000,1.00
1286,5.60,1.0000,1,1.000,1.00
1303,5.73,1.0000,1,1.000,1.00
1319,5.85,1.0000,1,1.000,1.00
1340,6.01,1.0000,1,0.000,0.00
1356,5.96,1.0000,1,1.000,1.00
1373,6.08,0.9832,1,1.000,1.00
1390,6.22,0.9661,1,1.000,1.00
1406,6.34,0.9504,1,1.000,1.00
1424,6.49,0.9322,1,1.000,1.00
1441,6.63,0.9148,1,1.000,1.00
1459,6.77,0.8974,1,1.000,1.00
1476,6.91,0.8805,1,1.000,1.00
1493,7.05,0.8636,1,1.000,1.00
1509,7.19,0.8474,1,1.000,1.00
1526,7.34,0.8306,1,1.000,1.00
1543,7.49,0.8134,1,1.000,1.00
1559,7.63,0.8160,1,1.000,1.00
1576,7.78,0.8334,1,1.000,1.00
1592,7.93,0.8498,1,1.000,1.00
1609,8.08,0.8666,1,1.000,1.00
1626,8.23,0.8829,1,1.000,1.00
