ms,speed,rpm,gear,throttle,mult
10,0.09,0.2000,1,0.000,1.00
19,0.18,0.2000,1,1.000,1.00
28,0.27,0.2090,1,1.000,1.00
36,0.35,0.2175,1,1.000,1.00
45,0.44,0.2268,1,1.000,1.00
55,0.53,0.2361,1,1.000,1.00
64,0.63,0.2456,1,1.000,1.00
74,0.72,0.2553,1,1.000,1.00
85,0.83,0.2663,1,1.000,1.00
96,0.93,0.2770,1,1.000,1.00
107,1.04,0.2880,1,1.000,1.00
117,1.14,0.2981,1,1.000,1.00
126,1.23,0.3072,1,1.000,1.00
134,1.31,0.3159,1,1.000,1.00
143,1.39,0.3249,1,1.000,1.00
152,1.45,0.3333,1,1.000,1.00
160,1.48,0.3253,1,1.000,1.00
168,1.51,0.3168,1,1.000,1.00
177,1.54,0.3081,1,1.000,1.00
185,1.55,0.2996,1,1.000,1.00
195,1.56,0.2903,1,1.000,1.00
205,1.56,0.2805,1,1.000,1.00
213,1.54,0.2719,1,1.000,1.00
222,1.52,0.2628,1,1.000,1.00
232,1.49,0.2532,1,1.000,1.00
240,1.46,0.2449,1,1.000,1.00
248,1.42,0.2367,1,1.000,1.00
256,1.38,0.2286,1,1.000,1.00
266,1.33,0.2194,1,1.000,1.00
275,1.27,0.2103,1,1.000,1.00
285,1.21,0.2040,1,1.000,1.00
294,1.14,0.2135,1,1.000,1.00
304,1.08,0.2230,1,1.000,1.00
313,1.01,0.2320,1,1.000,1.00
322,0.95,0.2417,1,1.000,1.00
332,0.90,0.2512,1,1.000,1.00
342,0.85,0.2618,1,1.000,1.00
354,0.81,0.2734,1,1.000,1.00
363,0.79,0.2825,1,1.000,1.00
372,0.79,0.2913,1,1.000,1.00
380,0.80,0.2998,1,1.000,1.00
390,0.82,0.3093,1,1.000,1.00
399,0.86,0.3189,1,1.000,1.00
410,0.91,0.3297,1,1.000,1.00
419,0.96,0.3382,1,1.000,1.00
427,1.00,0.3463,1,1.000,1.00
435,1.05,0.3547,1,1.000,1.00
443,1.09,0.3627,1,1.000,1.00
451,1.13,0.3708,1,1.000,1.00
460,1.17,0.3795,1,1.000,1.00
469,1.22,0.3887,1,1.000,1.00
478,1.26,0.3974,1,1.000,1.00
487,1.30,0.4066,1,1.000,1.00
495,1.33,0.4147,1,1.000,1.00
504,1.36,0.4232,1,1.000,1.00
512,1.39,0.4314,1,1.000,1.00
521,1.41,0.4399,1,1.000,1.00
529,1.44,0.4483,1,1.000,1.00
537,1.46,0.4563,1,1.000,1.00
545,1.48,0.4645,1,1.000,1.00
554,1.50,0.4732,1,1.000,1.00
563,1.52,0.4821,1,1.000,1.00
571,1.54,0.4904,1,1.000,1.00
579,1.55,0.4987,1,1.000,1.00
588,1.57,0.5071,1,1.000,1.00
596,1.59,0.5153,1,1.000,1.00
605,1.60,0.5244,1,1.000,1.00
613,1.61,0.5326,1,1.000,1.00
622,1.63,0.5410,1,1.000,1.00
630,1.64,0.5497,1,1.000,1.00
639,1.66,0.5588,1,1.000,1.00
648,1.67,0.5671,1,1.000,1.00
658,1.69,0.5777,1,1.000,1.00
668,1.71,0.5872,1,1.000,1.00
677,1.72,0.5965,1,1.000,1.00
686,1.74,0.6050,1,1.000,1.00
694,1.75,0.6134,1,1.000,1.00
703,1.77,0.6220,1,1.000,1.00
710,1.79,0.6298,1,1.000,1.00
720,1.81,0.6389,1,1.000,1.00
728,1.82,0.6471,1,1.000,1.00
736,1.84,0.6553,1,1.000,1.00
744,1.86,0.6635,1,1.000,1.00
752,1.88,0.6718,1,1.000,1.00
762,1.91,0.6810,1,1.000,1.00
770,1.93,0.6891,1,1.000,1.00
778,1.95,0.6972,1,1.000,1.00
786,1.97,0.7055,1,1.000,1.00
795,2.00,0.7146,1,1.000,1.00
805,2.03,0.7244,1,1.000,1.00
814,2.05,0.7334,1,1.000,1.00
823,2.08,0.7421,1,1.000,1.00
