ms,speed,rpm,gear,throttle,mult
10,0.00,0.2000,1,0.000,1.00
19,0.03,0.2000,1,1.000,1.00
30,0.07,0.2000,1,1.000,1.00
39,0.09,0.2000,1,1.000,1.00
47,0.12,0.2000,1,1.000,1.00
56,0.14,0.2000,1,1.000,1.00
64,0.16,0.2000,1,1.000,1.00
72,0.19,0.2000,1,1.000,1.00
81,0.21,0.2000,1,1.000,1.00
90,0.24,0.2000,1,1.000,1.00
98,0.26,0.2000,1,1.000,1.00
108,0.29,0.2000,1,1.000,1.00
119,0.32,0.2000,1,1.000,1.00
128,0.35,0.2000,1,1.000,1.00
139,0.39,0.2000,1,1.000,1.00
148,0.42,0.2000,1,1.000,1.00
158,0.45,0.2000,1,1.000,1.00
168,0.49,0.2000,1,1.000,1.00
178,0.52,0.2000,1,1.000,1.00
187,0.56,0.2000,1,1.000,1.00
199,0.60,0.2000,1,1.000,1.00
209,0.63,0.2000,1,1.000,1.00
218,0.67,0.2000,1,1.000,1.00
227,0.70,0.2000,1,1.000,1.00
235,0.74,0.2000,1,1.000,1.00
245,0.78,0.2000,1,1.000,1.00
255,0.82,0.2000,1,1.000,1.00
266,0.87,0.2000,1,1.000,1.00
275,0.91,0.2000,1,1.000,1.00
285,0.95,0.2000,1,1.000,1.00
297,1.00,0.2000,1,1.000,1.00
306,1.05,0.2000,1,1.000,1.00
316,1.09,0.2000,1,1.000,1.00
325,1.13,0.2000,1,1.000,1.00
334,1.18,0.2006,1,1.000,1.00
342,1.22,0.2064,1,1.000,1.00
352,1.26,0.2120,1,1.000,1.00
361,1.31,0.2184,1,1.000,1.00
371,1.36,0.2243,1,1.000,1.00
380,1.40,0.2311,1,1.000,1.00
389,1.45,0.2368,1,1.000,1.00
401,1.52,0.2430,1,1.000,1.00
416,1.60,0.2509,1,1.000,1.00
430,1.67,0.2605,1,1.000,1.00
441,1.73,0.2698,1,1.000,1.00
452,1.80,0.2768,1,1.000,1.00
463,1.86,0.2841,1,1.000,1.00
474,1.92,0.2914,1,1.000,1.00
484,1.99,0.2984,1,1.000,1.00
497,2.06,0.3054,1,1.000,1.00
509,2.14,0.3137,1,1.000,1.00
523,2.23,0.3220,1,1.000,1.00
536,2.31,0.3309,1,1.000,1.00
546,2.38,0.3394,1,1.000,1.00
557,2.46,0.3464,1,1.000,1.00
567,2.52,0.3535,1,1.000,1.00
576,2.59,0.3600,1,1.000,1.00
586,2.65,0.3662,1,1.000,1.00
597,2.73,0.3723,1,1.000,1.00
605,2.79,0.3794,1,1.000,1.00
615,2.87,0.3853,1,1.000,1.00
624,2.94,0.3916,1,1.000,1.00
633,3.00,0.3978,1,1.000,1.00
642,3.07,0.4037,1,1.000,1.00
652,3.15,0.4096,1,1.000,1.00
661,3.22,0.4160,1,1.000,1.00
670,3.29,0.4219,1,1.000,1.00
679,3.37,0.4281,1,1.000,1.00
690,3.45,0.4340,1,1.000,1.00
699,3.53,0.4408,1,1.000,1.00
709,3.61,0.4471,1,1.000,1.00
721,3.72,0.4532,1,1.000,1.00
734,3.83,0.4613,1,1.000,1.00
743,3.91,0.4697,1,1.000,1.00
752,4.00,0.4758,1,1.000,1.00
761,4.08,0.4819,1,1.000,1.00
771,4.18,0.4880,1,1.000,1.00
780,4.26,0.4944,1,1.000,1.00
790,4.36,0.5004,1,1.000,1.00
800,4.46,0.5069,1,1.000,1.00
813,4.59,0.5181,1,1.000,1.00
822,4.68,0.5267,1,1.000,1.00
832,4.78,0.5341,1,1.000,1.00
841,4.88,0.5408,1,1.000,1.00
853,5.01,0.5474,1,1.000,1.00
863,5.12,0.5557,1,1.000,1.00
873,5.24,0.5634,1,1.000,1.00
882,5.33,0.5716,1,1.000,1.00
892,5.44,0.5793,1,1.000,1.00
901,5.54,0.5869,1,1.000,1.00
910,5.64,0.5944,1,1.000,1.00
920,5.76,0.6016,1,1.000,1.00
930,5.87,0.6095,1,1.000,1.00
939,5.98,0.6176,1,1.000,1.00
947,6.09,0.6252,1,1.000,1.00
956,6.19,0.6326,1,1.000,1.00
965,6.31,0.6399,1,1.000,1.00
974,6.43,0.6474,1,1.000,1.00
983,6.54,0.6553,1,1.000,1.00
992,6.66,0.6642,1,1.000,1.00
1001,6.78,0.6732,1,1.000,1.00
1011,6.91,0.6824,1,1.000,1.00
1020,7.03,0.6916,1,1.000,1.00
1029,7.16,0.7007,1,1.000,1.00
1038,7.29,0.7101,1,1.000,1.00
1048,7.42,0.7193,1,1.000,1.00
1057,7.56,0.7281,1,1.000,1.00
1066,7.69,0.7365,1,1.000,1.00
1074,7.82,0.7449,1,1.000,1.00
1083,7.95,0.7529,1,1.000,1.00
1093,8.10,0.7607,1,1.000,1.00
1101,8.24,0.7692,1,1.000,1.00
1111,8.38,0.7781,1,1.000,1.00
1120,8.53,0.7867,1,1.000,1.00
1130,8.69,0.7956,1,1.000,1.00
1140,8.85,0.8049,1,1.000,1.00
1149,9.00,0.8138,1,1.000,1.00
1158,9.14,0.8228,1,1.000,1.00
1167,9.29,0.8314,1,1.000,1.00
1176,9.44,0.8406,1,1.000,1.00
1184,9.58,0.8487,1,1.000,1.00
1192,9.72,0.8571,1,1.000,1.00
1201,9.87,0.8616,2,1.000,1.00
1211,10.05,0.8511,2,1.000,1.73
1220,10.21,0.8421,2,1.000,1.72
1229,10.38,0.8329,2,1.000,1.70
1238,10.54,0.8242,2,1.000,1.69
1247,10.69,0.8157,2,1.000,1.67
1257,10.89,0.8052,2,1.000,1.66
1267,11.07,0.7956,2,1.000,1.64
1276,11.24,0.7867,2,1.000,1.63
1285,11.42,0.7778,2,1.000,1.61
1294,11.60,0.7680,2,1.000,1.60
1303,11.77,0.7596,2,1.000,1.58
1312,11.95,0.7638,2,1.000,1.57
1321,12.16,0.7719,2,1.000,1.55
1333,12.40,0.7807,2,1.000,1.53
1341,12.58,0.7894,2,1.000,1.52
1350,12.76,0.7980,2,1.000,1.50
1359,12.97,0.8073,2,1.000,1.49
1373,13.25,0.8165,2,1.000,1.46
1381,13.44,0.8253,2,1.000,1.45
1392,13.66,0.8359,2,1.000,1.43
1402,13.88,0.8452,2,1.000,1.42
1414,14.12,0.8543,2,1.000,1.40
1425,14.38,0.8634,2,1.000,1.38
1435,14.58,0.8732,2,1.000,1.36
1445,14.80,0.8823,2,1.000,1.34
1455,15.02,0.8902,2,1.000,1.33
1466,15.24,0.8799,2,1.000,1.31
1475,15.44,0.8706,2,1.000,1.29
1484,15.64,0.8612,2,1.000,1.28
1494,15.85,0.8544,2,1.000,1.26
1503,16.05,0.8628,2,1.000,1.25
1512,16.25,0.8710,2,1.000,1.23
1521,16.45,0.8790,2,1.000,1.22
1531,16.66,0.8868,2,1.000,1.20
1540,16.86,0.8933,2,1.000,1.19
