ms,speed,rpm,gear,throttle,mult
13,0.13,0.2000,1,0.000,1.00
25,0.25,0.2000,1,1.000,1.00
36,0.36,0.2111,1,1.000,1.00
46,0.45,0.2207,1,1.000,1.00
55,0.54,0.2297,1,1.000,1.00
65,0.64,0.2396,1,1.000,1.00
74,0.72,0.2483,1,1.000,1.00
83,0.81,0.2574,1,1.000,1.00
92,0.91,0.2670,1,1.000,1.00
103,1.01,0.2777,1,1.000,1.00
112,1.10,0.2868,1,1.000,1.00
121,1.19,0.2955,1,1.000,1.00
131,1.29,0.3059,1,1.000,1.00
140,1.36,0.3145,1,1.000,1.00
149,1.42,0.3236,1,1.000,1.00
158,1.46,0.3148,1,1.000,1.00
167,1.49,0.3060,1,1.000,1.00
176,1.52,0.2962,1,1.000,1.00
186,1.53,0.2866,1,1.000,1.00
196,1.53,0.2763,1,1.000,1.00
206,1.52,0.2670,1,1.000,1.00
214,1.51,0.2582,1,1.000,1.00
223,1.48,0.2495,1,1.000,1.00
232,1.45,0.2405,1,1.000,1.00
241,1.42,0.2315,1,1.000,1.00
251,1.37,0.2214,1,1.000,1.00
261,1.32,0.2119,1,1.000,1.00
269,1.26,0.2033,1,1.000,1.00
278,1.21,0.2000,1,1.000,1.00
287,1.15,0.2041,1,1.000,1.00
296,1.09,0.2131,1,1.000,1.00
306,1.03,0.2224,1,1.000,1.00
315,0.97,0.2313,1,1.000,1.00
323,0.91,0.2402,1,1.000,1.00
332,0.87,0.2488,1,1.000,1.00
340,0.83,0.2571,1,1.000,1.00
350,0.80,0.2663,1,1.000,1.00
359,0.78,0.2758,1,1.000,1.00
368,0.78,0.2844,1,1.000,1.00
376,0.78,0.2927,1,1.000,1.00
385,0.81,0.3022,1,1.000,1.00
395,0.84,0.3119,1,1.000,1.00
404,0.88,0.3208,1,1.000,1.00
413,0.93,0.3298,1,1.000,1.00
423,0.98,0.3393,1,1.000,1.00
432,1.03,0.3484,1,1.000,1.00
441,1.08,0.3574,1,1.000,1.00
450,1.12,0.3668,1,1.000,1.00
459,1.17,0.3759,1,1.000,1.00
468,1.21,0.3844,1,1.000,1.00
479,1.26,0.3955,1,1.000,1.00
491,1.31,0.4075,1,1.000,1.00
500,1.34,0.4166,1,1.000,1.00
508,1.36,0.4250,1,1.000,1.00
517,1.39,0.4340,1,1.000,1.00
526,1.42,0.4427,1,1.000,1.00
534,1.44,0.4511,1,1.000,1.00
544,1.47,0.4606,1,1.000,1.00
552,1.48,0.4685,1,1.000,1.00
560,1.50,0.4772,1,1.000,1.00
570,1.52,0.4865,1,1.000,1.00
578,1.54,0.4951,1,1.000,1.00
588,1.56,0.5048,1,1.000,1.00
597,1.57,0.5139,1,1.000,1.00
605,1.59,0.5221,1,1.000,1.00
614,1.60,0.5306,1,1.000,1.00
624,1.62,0.5404,1,1.000,1.00
632,1.63,0.5490,1,1.000,1.00
640,1.65,0.5573,1,1.000,1.00
649,1.66,0.5656,1,1.000,1.00
658,1.68,0.5749,1,1.000,1.00
667,1.69,0.5839,1,1.000,1.00
677,1.71,0.5934,1,1.000,1.00
685,1.73,0.6017,1,1.000,1.00
694,1.74,0.6104,1,1.000,1.00
702,1.76,0.6183,1,1.000,1.00
710,1.78,0.6269,1,1.000,1.00
720,1.80,0.6368,1,1.000,1.00
729,1.82,0.6459,1,1.000,1.00
738,1.84,0.6544,1,1.000,1.00
746,1.86,0.6629,1,1.000,1.00
754,1.88,0.6711,1,1.000,1.00
763,1.90,0.6799,1,1.000,1.00
772,1.93,0.6892,1,1.000,1.00
781,1.95,0.6974,1,1.000,1.00
790,1.98,0.7070,1,1.000,1.00
800,2.01,0.7170,1,1.000,1.00
809,2.03,0.7260,1,1.000,1.00
818,2.06,0.7343,1,1.000,1.00
826,2.09,0.7425,1,1.000,1.00
835,2.11,0.7513,1,1.000,1.00
843,2.14,0.7595,1,1.000,1.00
851,2.17,0.7679,1,1.000,1.00
860,2.20,0.7764,1,1.000,1.00
869,2.23,0.7855,1,1.000,1.00
877,2.26,0.7941,1,1.000,1.00
886,2.29,0.8029,1,1.000,1.00
896,2.32,0.8127,1,1.000,1.00
905,2.35,0.8215,1,1.000,1.00
914,2.39,0.8309,1,1.000,1.00
923,2.42,0.8397,1,1.000,1.00
932,2.45,0.8485,1,1.000,1.00
941,2.49,0.8574,1,1.000,1.00
949,2.52,0.8662,1,1.000,1.00
959,2.55,0.8753,1,1.000,1.00
967,2.59,0.8841,1,1.000,1.00
976,2.62,0.8923,1,1.000,1.00
984,2.66,0.9010,1,1.000,1.00
993,2.69,0.9102,1,1.000,1.00
1002,2.73,0.9191,1,1.000,1.00
1014,2.78,0.9308,1,1.000,1.00
1028,2.84,0.9450,1,1.000,1.00
1040,2.89,0.9570,1,1.000,1.00
1053,2.95,0.9703,1,1.000,1.00
1066,3.00,0.9824,1,1.000,1.00
1078,3.06,0.9947,1,0.000,0.00
1091,3.02,1.0000,1,0.000,0.00
1101,2.98,0.9895,1,0.000,0.00
1112,2.95,0.9791,1,1.000,1.00
1121,2.99,0.9700,1,1.000,1.00
1131,3.04,0.9599,1,1.000,1.00
1140,3.08,0.9512,1,1.000,1.00
1150,3.13,0.9406,1,1.000,1.00
1160,3.17,0.9312,1,1.000,1.00
1169,3.22,0.9214,1,1.000,1.00
1179,3.27,0.9123,1,1.000,1.00
1187,3.31,0.9034,1,1.000,1.00
1196,3.35,0.8947,1,1.000,1.00
1205,3.40,0.8861,1,1.000,1.00
1213,3.44,0.8776,1,1.000,1.00
1222,3.48,0.8692,1,1.000,1.00
1233,3.54,0.8577,1,1.000,1.00
1243,3.60,0.8476,1,1.000,1.00
1251,3.64,0.8395,1,1.000,1.00
1261,3.69,0.8299,1,1.000,1.00
1270,3.74,0.8212,1,1.000,1.00
1279,3.79,0.8123,1,1.000,1.00
1287,3.83,0.8037,1,1.000,1.00
1296,3.88,0.7946,1,1.000,1.00
1306,3.94,0.7850,1,1.000,1.00
1314,3.98,0.7768,1,1.000,1.00
1324,4.04,0.7664,1,1.000,1.00
1333,4.09,0.7576,1,1.000,1.00
1343,4.15,0.7476,1,1.000,1.00
1356,4.23,0.7425,1,1.000,1.00
1366,4.28,0.7523,1,1.000,1.00
1374,4.34,0.7608,1,1.000,1.00
1384,4.39,0.7704,1,1.000,1.00
1392,4.45,0.7792,1,1.000,1.00
1402,4.51,0.7889,1,1.000,1.00
1410,4.56,0.7972,1,1.000,1.00
1419,4.62,0.8063,1,1.000,1.00
1429,4.68,0.8157,1,1.000,1.00
1438,4.74,0.8246,1,1.000,1.00
1446,4.79,0.8329,1,1.000,1.00
1456,4.86,0.8430,1,1.000,1.00
1466,4.92,0.8532,1,1.000,1.00
1476,4.99,0.8623,1,1.000,1.00
1484,5.04,0.8707,1,1.000,1.00
1492,5.10,0.8791,1,1.000,1.00
1501,5.16,0.8874,1,1.000,1.00
1510,5.22,0.8964,1,1.000,1.00
1520,5.29,0.9064,1,1.000,1.00
1528,5.35,0.9148,1,1.000,1.00
1536,5.41,0.9228,1,1.000,1.00
1545,5.47,0.9313,1,1.000,1.00
1553,5.53,0.9402,1,1.000,1.00
1562,5.59,0.9488,1,1.000,1.00
1570,5.66,0.9572,1,1.000,1.00
1580,5.73,0.9665,1,1.000,1.00
1589,5.79,0.9756,1,1.000,1.00
1600,5.88,0.9873,1,0.000,0.00
1610,5.85,0.9964,1,0.000,0.00
1619,5.82,0.9875,1,0.000,0.00
1628,5.80,0.9782,1,1.000,1.00
1637,5.87,0.9694,1,1.000,1.00
1646,5.95,0.9602,1,1.000,1.00
1654,6.03,0.9516,1,1.000,1.00
1664,6.12,0.9416,1,1.000,1.00
1674,6.20,0.9326,1,1.000,1.00
1682,6.28,0.9237,1,1.000,1.00
1691,6.35,0.9150,1,1.000,1.00
1700,6.43,0.9059,1,1.000,1.00
1708,6.51,0.8977,1,1.000,1.00
1717,6.59,0.8887,1,1.000,1.00
1726,6.66,0.8800,1,1.000,1.00
1734,6.73,0.8720,1,1.000,1.00
1744,6.81,0.8625,1,1.000,1.00
1753,6.88,0.8534,1,1.000,1.00
1762,6.96,0.8444,1,1.000,1.00
1770,7.03,0.8357,1,1.000,1.00
1779,7.10,0.8276,1,1.000,1.00
1788,7.18,0.8177,1,1.000,1.00
1797,7.26,0.8086,1,1.000,1.00
1807,7.33,0.7995,1,1.000,1.00
1815,7.41,0.7906,1,1.000,1.00
1825,7.49,0.7813,1,1.000,1.00
1833,7.57,0.7729,1,1.000,1.00
1842,7.64,0.7645,1,1.000,1.00
1850,7.71,0.7563,1,1.000,1.00
1858,7.79,0.7480,1,1.000,1.00
1866,7.87,0.7534,1,1.000,1.00
1876,7.96,0.7635,1,1.000,1.00
1886,8.04,0.7728,1,1.000,1.00
1895,8.13,0.7818,1,1.000,1.00
1904,8.22,0.7913,1,1.000,1.00
1913,8.30,0.7996,1,1.000,1.00
1923,8.40,0.8098,1,1.000,1.00
1932,8.49,0.8187,1,1.000,1.00
1941,8.58,0.8275,1,1.000,1.00
1950,8.68,0.8371,1,1.000,1.00
1959,8.78,0.8461,1,1.000,1.00
1968,8.88,0.8369,1,1.000,1.00
1977,8.97,0.8282,1,1.000,1.00
1986,9.08,0.8190,1,1.000,1.00
1996,9.19,0.8095,1,1.000,1.00
2005,9.31,0.8037,1,1.000,1.00
2015,9.42,0.8129,1,1.000,1.00
2025,9.54,0.8026,1,1.000,1.00
2034,9.66,0.7932,1,1.000,1.00
2043,9.77,0.7843,1,1.000,1.00
2052,9.87,0.7755,1,1.000,1.00
2061,9.98,0.7667,1,1.000,1.00
2071,10.11,0.7567,1,1.000,1.00
2080,10.22,0.7476,1,1.000,1.00
2089,10.34,0.7519,1,1.000,1.00
2100,10.48,0.7589,1,1.000,1.00
2111,10.63,0.7657,1,1.000,1.00
2122,10.77,0.7742,1,1.000,1.00
2133,10.92,0.7835,1,1.000,1.00
2143,11.06,0.7920,1,1.000,1.00
2156,11.24,0.8015,1,1.000,1.00
2166,11.37,0.8103,1,1.000,1.00
2177,11.52,0.8210,1,1.000,1.00
2188,11.67,0.8302,1,1.000,1.00
2199,11.84,0.8398,1,1.000,1.00
2212,12.02,0.8496,1,1.000,1.00
2224,12.19,0.8372,1,1.000,1.00
2239,12.41,0.8223,1,1.000,1.00
2252,12.60,0.8095,1,1.000,1.00
2264,12.77,0.7975,1,1.000,1.00
2279,12.99,0.7826,1,1.000,1.00
2290,13.16,0.7716,1,1.000,1.00
2300,13.30,0.7618,1,1.000,1.00
2310,13.45,0.7518,1,1.000,1.00
2320,13.60,0.7416,1,1.000,1.00
2330,13.74,0.7313,1,1.000,1.00
2340,13.87,0.7217,1,1.000,1.00
2350,14.01,0.7117,1,1.000,1.00
2359,14.13,0.7152,1,1.000,1.00
2369,14.26,0.7215,1,1.000,1.00
2378,14.37,0.7271,1,1.000,1.00
2387,14.49,0.7331,1,1.000,1.00
2397,14.60,0.7383,1,1.000,1.00
2406,14.71,0.7437,1,1.000,1.00
2415,14.81,0.7490,1,1.000,1.00
2425,14.92,0.7540,1,1.000,1.00
2434,15.02,0.7590,1,1.000,1.00
2444,15.13,0.7639,1,1.000,1.00
2453,15.23,0.7688,1,1.000,1.00
2462,15.32,0.7738,1,1.000,1.00
2471,15.41,0.7784,1,1.000,1.00
2481,15.51,0.7826,1,1.000,1.00
2490,15.60,0.7868,1,1.000,1.00
2500,15.69,0.7915,1,1.000,1.00
2509,15.77,0.7959,1,1.000,1.00
2518,15.86,0.8002,1,1.000,1.00
2527,15.94,0.8043,1,1.000,1.00
2535,16.01,0.8082,1,1.000,1.00
2545,16.09,0.8119,1,1.000,1.00
2556,16.19,0.8156,1,1.000,1.00
2566,16.27,0.8194,1,1.000,1.00
2577,16.37,0.8242,1,1.000,1.00
2588,16.46,0.8280,1,1.000,1.00
2598,16.54,0.8324,1,1.000,1.00
2610,16.63,0.8368,1,1.000,1.00
2619,16.70,0.8407,1,1.000,1.00
2632,16.80,0.8450,1,1.000,1.00
2645,16.89,0.8485,1,1.000,1.00
2657,16.98,0.8533,1,1.000,1.00
2670,17.08,0.8577,1,1.000,1.00
2683,17.17,0.8621,1,1.000,1.00
2696,17.26,0.8668,1,1.000,1.00
2706,17.33,0.8712,1,1.000,1.00
2716,17.40,0.8756,1,1.000,1.00
2726,17.46,0.8789,1,1.000,1.00
2736,17.53,0.8823,1,1.000,1.00
2745,17.59,0.8854,1,1.000,1.00
2754,17.65,0.8888,1,1.000,1.00
2763,17.71,0.8918,1,1.000,1.00
2773,17.76,0.8945,1,1.000,1.00
2784,17.84,0.8974,1,1.000,1.00
2793,17.90,0.9003,1,1.000,1.00
2803,17.95,0.9038,1,1.000,1.00
2812,18.01,0.9067,1,1.000,1.00
2821,18.07,0.9095,1,1.000,1.00
2830,18.12,0.9123,1,1.000,1.00
