ms,speed,rpm,gear,throttle,mult
10,0.10,0.2000,1,0.000,1.00
19,0.18,0.2000,1,1.000,1.00
30,0.29,0.2108,1,1.000,1.00
39,0.38,0.2199,1,1.000,1.00
48,0.47,0.2290,1,1.000,1.00
58,0.56,0.2387,1,1.000,1.00
68,0.66,0.2484,1,1.000,1.00
77,0.75,0.2575,1,1.000,1.00
86,0.84,0.2671,1,1.000,1.00
97,0.94,0.2776,1,1.000,1.00
107,1.05,0.2881,1,1.000,1.00
119,1.16,0.3000,1,1.000,1.00
133,1.30,0.3142,1,1.000,1.00
146,1.41,0.3264,1,1.000,1.00
160,1.49,0.3403,1,1.000,1.00
171,1.52,0.3517,1,1.000,1.00
182,1.54,0.3630,1,1.000,1.00
191,1.55,0.3721,1,1.000,1.00
200,1.55,0.3809,1,1.000,1.00
209,1.54,0.3896,1,1.000,1.00
219,1.52,0.3996,1,1.000,1.00
229,1.49,0.4093,1,1.000,1.00
239,1.45,0.4201,1,1.000,1.00
248,1.41,0.4291,1,1.000,1.00
257,1.36,0.4380,1,1.000,1.00
266,1.31,0.4467,1,1.000,1.00
275,1.25,0.4553,1,1.000,1.00
283,1.20,0.4637,1,1.000,1.00
291,1.14,0.4722,1,1.000,1.00
301,1.07,0.4819,1,1.000,1.00
309,1.02,0.4900,1,1.000,1.00
318,0.96,0.4984,1,1.000,1.00
327,0.91,0.5073,1,1.000,1.00
336,0.86,0.5168,1,1.000,1.00
345,0.82,0.5260,1,1.000,1.00
354,0.80,0.5346,1,1.000,1.00
363,0.79,0.5434,1,1.000,1.00
371,0.78,0.5517,1,1.000,1.00
379,0.80,0.5598,1,1.000,1.00
388,0.82,0.5684,1,1.000,1.00
396,0.85,0.5767,1,1.000,1.00
405,0.89,0.5854,1,1.000,1.00
413,0.93,0.5934,1,1.000,1.00
421,0.97,0.6017,1,1.000,1.00
431,1.03,0.6119,1,1.000,1.00
442,1.09,0.6222,1,1.000,1.00
450,1.13,0.6310,1,1.000,1.00
460,1.18,0.6409,1,1.000,1.00
470,1.22,0.6505,1,1.000,1.00
479,1.26,0.6594,1,1.000,1.00
487,1.30,0.6682,1,1.000,1.00
497,1.33,0.6774,1,1.000,1.00
506,1.37,0.6862,1,1.000,1.00
514,1.39,0.6947,1,1.000,1.00
523,1.42,0.7041,1,1.000,1.00
532,1.45,0.7129,1,1.000,1.00
541,1.47,0.7213,1,1.000,1.00
549,1.49,0.7298,1,1.000,1.00
559,1.51,0.7393,1,1.000,1.00
569,1.54,0.7500,1,1.000,1.00
580,1.56,0.7602,1,1.000,1.00
591,1.58,0.7721,1,1.000,1.00
602,1.60,0.7828,1,1.000,1.00
615,1.62,0.7897,1,1.000,1.00
627,1.64,0.7973,1,1.000,1.00
638,1.65,0.8047,1,1.000,1.00
649,1.67,0.8115,1,1.000,1.00
659,1.69,0.8183,1,1.000,1.00
669,1.70,0.8249,1,1.000,1.00
678,1.72,0.8309,1,1.000,1.00
686,1.74,0.8364,1,1.000,1.00
696,1.75,0.8417,1,1.000,1.00
705,1.77,0.8475,1,1.000,1.00
714,1.79,0.8533,1,1.000,1.00
723,1.81,0.8587,1,1.000,1.00
732,1.83,0.8646,1,1.000,1.00
740,1.85,0.8699,1,1.000,1.00
748,1.87,0.8749,1,1.000,1.00
757,1.89,0.8801,1,1.000,1.00
765,1.91,0.8852,1,1.000,1.00
773,1.93,0.8903,1,1.000,1.00
781,1.96,0.8954,1,1.000,1.00
790,1.98,0.9005,1,1.000,1.00
799,2.01,0.9061,1,1.000,1.00
808,2.03,0.9118,1,1.000,1.00
816,2.06,0.9171,1,1.000,1.00
826,2.09,0.9222,1,1.000,1.00
835,2.12,0.9281,1,1.000,1.00
844,2.15,0.9338,1,1.000,1.00
852,2.18,0.9395,1,1.000,1.00
863,2.21,0.9446,1,1.000,1.00
873,2.25,0.9511,1,1.000,1.00
882,2.28,0.9575,1,1.000,1.00
893,2.32,0.9632,1,1.000,1.00
905,2.36,0.9700,1,1.000,1.00
913,2.39,0.9770,1,1.000,1.00
922,2.42,0.9825,1,1.000,1.00
931,2.45,0.9877,1,1.000,1.00
940,2.49,0.9931,1,1.000,1.00
950,2.52,0.9990,1,1.000,1.00
959,2.56,1.0000,1,1.000,1.00
968,2.59,1.0000,1,1.000,1.00
976,2.62,1.0000,1,1.000,1.00
985,2.66,1.0000,1,1.000,1.00
993,2.69,1.0000,1,1.000,1.00
1001,2.72,1.0000,1,1.000,1.00
1011,2.77,1.0000,1,1.000,1.00
1022,2.81,1.0000,1,1.000,1.00
1032,2.86,1.0000,1,1.000,1.00
1041,2.89,1.0000,1,1.000,1.00
1049,2.93,1.0000,1,1.000,1.00
1058,2.97,1.0000,1,1.000,1.00
1068,3.01,1.0000,1,1.000,1.00
1077,3.05,1.0000,1,1.000,1.00
1086,3.10,1.0000,1,1.000,1.00
1095,3.14,1.0000,1,1.000,1.00
1103,3.18,1.0000,1,1.000,1.00
1113,3.23,1.0000,1,1.000,1.00
1124,3.28,1.0000,1,1.000,1.00
1134,3.33,1.0000,1,1.000,1.00
1144,3.38,1.0000,1,1.000,1.00
1153,3.42,1.0000,1,1.000,1.00
1161,3.46,1.0000,1,1.000,1.00
1169,3.50,1.0000,1,1.000,1.00
1178,3.55,1.0000,1,1.000,1.00
1187,3.60,1.0000,1,1.000,1.00
1196,3.64,1.0000,1,1.000,1.00
1208,3.71,1.0000,1,1.000,1.00
1218,3.76,1.0000,1,1.000,1.00
1228,3.82,1.0000,1,1.000,1.00
1236,3.87,1.0000,1,1.000,1.00
1245,3.92,1.0000,1,1.000,1.00
1254,3.96,1.0000,1,1.000,1.00
1263,4.02,1.0000,1,1.000,1.00
1274,4.08,1.0000,1,1.000,1.00
1282,4.13,1.0000,1,1.000,1.00
1293,4.19,1.0000,1,1.000,1.00
1303,4.25,1.0000,1,1.000,1.00
1312,4.30,1.0000,1,1.000,1.00
1322,4.36,1.0000,1,1.000,1.00
1331,4.42,1.0000,1,1.000,1.00
1339,4.47,1.0000,1,1.000,1.00
1349,4.53,1.0000,1,1.000,1.00
1357,4.58,1.0000,1,1.000,1.00
1366,4.64,1.0000,1,1.000,1.00
1374,4.69,1.0000,1,1.000,1.00
1383,4.75,1.0000,1,1.000,1.00
1391,4.80,1.0000,1,1.000,1.00
1401,4.86,1.0000,1,1.000,1.00
1409,4.92,1.0000,1,1.000,1.00
1417,4.97,1.0000,1,1.000,1.00
1427,5.04,1.0000,1,1.000,1.00
1436,5.10,1.0000,1,1.000,1.00
1446,5.17,1.0000,1,1.000,1.00
1457,5.25,1.0000,1,1.000,1.00
1468,5.32,1.0000,1,1.000,1.00
1477,5.39,1.0000,1,1.000,1.00
1487,5.46,1.0000,1,1.000,1.00
1497,5.53,1.0000,1,1.000,1.00
1506,5.59,1.0000,1,1.000,1.00
1515,5.66,1.0000,1,1.000,1.00
1523,5.72,1.0000,1,1.000,1.00
1532,5.79,1.0000,1,1.000,1.00
1540,5.85,1.0000,1,1.000,1.00
1550,5.92,1.0000,1,1.000,1.00
1561,6.01,1.0000,1,1.000,1.00
1570,6.08,1.0000,1,1.000,1.00
1579,6.15,1.0000,1,1.000,1.00
1589,6.22,1.0000,1,1.000,1.00
1598,6.29,1.0000,1,1.000,1.00
1607,6.37,1.0000,1,1.000,1.00
1615,6.43,1.0000,1,1.000,1.00
1624,6.50,1.0000,1,1.000,1.00
1632,6.57,1.0000,1,1.000,1.00
1641,6.64,1.0000,1,1.000,1.00
1649,6.71,1.0000,1,1.000,1.00
1660,6.80,1.0000,1,1.000,1.00
1669,6.88,1.0000,1,1.000,1.00
1678,6.95,1.0000,1,1.000,1.00
1687,7.03,1.0000,2,1.000,1.00
1701,7.15,0.9864,2,1.000,1.52
1714,7.26,0.9736,2,1.000,1.50
1726,7.37,0.9609,2,1.000,1.47
1739,7.48,0.9483,2,1.000,1.45
1753,7.60,0.9346,2,1.000,1.42
1765,7.71,0.9220,2,1.000,1.40
1776,7.80,0.9114,2,1.000,1.38
1787,7.90,0.9002,2,1.000,1.35
1797,7.99,0.8903,2,1.000,1.33
1806,8.07,0.8817,2,1.000,1.32
1815,8.16,0.8724,2,1.000,1.30
1824,8.24,0.8631,2,1.000,1.28
1833,8.33,0.8547,2,1.000,1.26
1841,8.40,0.8464,2,1.000,1.25
1850,8.49,0.8371,2,1.000,1.23
1859,8.58,0.8279,2,1.000,1.21
1868,8.67,0.8192,2,1.000,1.19
1878,8.77,0.8095,2,1.000,1.17
1887,8.86,0.8003,2,1.000,1.16
1897,8.95,0.7907,2,1.000,1.14
1905,9.04,0.7818,2,1.000,1.12
1914,9.13,0.7733,2,1.000,1.10
1923,9.22,0.7646,2,1.000,1.09
1931,9.31,0.7662,2,1.000,1.07
1940,9.40,0.7699,2,1.000,1.05
1949,9.50,0.7740,2,1.000,1.04
1958,9.59,0.7778,2,1.000,1.02
1966,9.68,0.7817,2,1.000,1.00
1975,9.77,0.7851,2,1.000,1.00
1983,9.86,0.7886,2,1.000,1.00
1993,9.97,0.7921,2,1.000,1.00
2003,10.07,0.7963,2,1.000,1.00
2011,10.16,0.8003,2,1.000,1.00
2019,10.25,0.8037,2,1.000,1.00
2029,10.35,0.8070,2,1.000,1.00
2037,10.44,0.8109,2,1.000,1.00
2045,10.54,0.8143,2,1.000,1.00
2054,10.64,0.8177,2,1.000,1.00
2062,10.75,0.8209,2,1.000,1.00
2072,10.87,0.8244,2,1.000,1.00
2081,10.99,0.8149,2,1.000,1.00
2090,11.10,0.8066,2,1.000,1.00
2098,11.21,0.7978,2,1.000,1.00
2107,11.33,0.7888,2,1.000,1.00
2116,11.44,0.7802,2,1.000,1.00
2125,11.56,0.7711,2,1.000,1.00
2136,11.70,0.7607,2,1.000,1.00
2146,11.84,0.7504,2,1.000,1.00
2155,11.97,0.7409,2,1.000,1.00
2165,12.10,0.7316,2,1.000,1.00
2173,12.21,0.7231,2,1.000,1.00
2182,12.34,0.7140,2,1.000,1.00
2193,12.49,0.7037,2,1.000,1.00
2201,12.61,0.6950,2,1.000,1.00
2210,12.73,0.6863,2,1.000,1.00
2218,12.85,0.6781,2,1.000,1.00
2230,13.01,0.6666,2,1.000,1.00
2239,13.14,0.6577,2,1.000,1.00
2249,13.29,0.6474,2,1.000,1.00
2258,13.42,0.6383,2,1.000,1.00
2267,13.56,0.6288,2,1.000,1.00
2276,13.68,0.6201,2,1.000,1.00
2285,13.80,0.6117,2,1.000,1.00
2294,13.94,0.6025,2,1.000,1.00
2302,14.07,0.5939,2,1.000,1.00
2311,14.20,0.5850,2,1.000,1.00
2319,14.31,0.5830,2,1.000,1.00
2328,14.43,0.5878,2,1.000,1.00
2336,14.55,0.5921,2,1.000,1.00
2345,14.66,0.5963,2,1.000,1.00
2354,14.78,0.6005,2,1.000,1.00
2363,14.89,0.6047,2,1.000,1.00
2371,14.99,0.6089,2,1.000,1.00
2380,15.10,0.6128,2,1.000,1.00
2389,15.21,0.6165,2,1.000,1.00
2398,15.30,0.6205,2,1.000,1.00
2406,15.39,0.6244,2,1.000,1.00
2414,15.49,0.6279,2,1.000,1.00
