ms,speed,rpm,gear,throttle,mult
9,0.00,0.2000,1,0.000,1.00
17,0.03,0.2000,1,1.000,1.00
25,0.06,0.2000,1,1.000,1.00
34,0.08,0.2000,1,1.000,1.00
43,0.11,0.2000,1,1.000,1.00
50,0.13,0.2000,1,1.000,1.00
58,0.15,0.2000,1,1.000,1.00
67,0.18,0.2000,1,1.000,1.00
76,0.20,0.2000,1,1.000,1.00
84,0.22,0.2000,1,1.000,1.00
92,0.24,0.2000,1,1.000,1.00
100,0.27,0.2000,1,1.000,1.00
108,0.29,0.2000,1,1.000,1.00
117,0.32,0.2000,1,1.000,1.00
126,0.34,0.2000,1,1.000,1.00
135,0.37,0.2000,1,1.000,1.00
144,0.40,0.2000,1,1.000,1.00
152,0.42,0.2000,1,1.000,1.00
161,0.45,0.2000,1,1.000,1.00
168,0.48,0.2000,1,1.000,1.00
176,0.50,0.2000,1,1.000,1.00
184,0.53,0.2000,1,1.000,1.00
193,0.56,0.2000,1,1.000,1.00
201,0.59,0.2000,1,1.000,1.00
209,0.62,0.2000,1,1.000,1.00
217,0.65,0.2000,1,1.000,1.00
225,0.68,0.2000,1,1.000,1.00
232,0.71,0.2000,1,1.000,1.00
240,0.75,0.2000,1,1.000,1.00
248,0.78,0.2000,1,1.000,1.00
257,0.82,0.2000,1,1.000,1.00
266,0.85,0.2000,1,1.000,1.00
276,0.89,0.2000,1,1.000,1.00
284,0.93,0.2000,1,1.000,1.00
293,0.97,0.2000,1,1.000,1.00
301,1.00,0.2000,1,1.000,1.00
309,1.04,0.2000,1,1.000,1.00
317,1.08,0.2000,1,1.000,1.00
326,1.12,0.2000,1,1.000,1.00
334,1.16,0.2031,1,1.000,1.00
342,1.20,0.2086,1,1.000,1.00
350,1.24,0.2137,1,1.000,1.00
359,1.28,0.2189,1,1.000,1.00
368,1.32,0.2247,1,1.000,1.00
376,1.37,0.2303,1,1.000,1.00
384,1.41,0.2357,1,1.000,1.00
393,1.46,0.2413,1,1.000,1.00
402,1.50,0.2472,1,1.000,1.00
411,1.55,0.2531,1,1.000,1.00
419,1.59,0.2587,1,1.000,1.00
427,1.64,0.2641,1,1.000,1.00
435,1.68,0.2694,1,1.000,1.00
443,1.73,0.2747,1,1.000,1.00
454,1.79,0.2803,1,1.000,1.00
463,1.85,0.2873,1,1.000,1.00
472,1.90,0.2935,1,1.000,1.00
481,1.95,0.2993,1,1.000,1.00
490,2.00,0.3051,1,1.000,1.00
499,2.06,0.3111,1,1.000,1.00
507,2.11,0.3171,1,1.000,1.00
515,2.16,0.3224,1,1.000,1.00
524,2.21,0.3276,1,1.000,1.00
535,2.29,0.3332,1,1.000,1.00
545,2.35,0.3407,1,1.000,1.00
553,2.41,0.3471,1,1.000,1.00
561,2.46,0.3526,1,1.000,1.00
569,2.52,0.3581,1,1.000,1.00
578,2.58,0.3633,1,1.000,1.00
592,2.68,0.3691,1,1.000,1.00
604,2.76,0.3781,1,1.000,1.00
615,2.84,0.3859,1,1.000,1.00
626,2.92,0.3933,1,1.000,1.00
640,3.03,0.4005,1,1.000,1.00
654,3.14,0.4100,1,1.000,1.00
663,3.22,0.4187,1,1.000,1.00
674,3.30,0.4252,1,1.000,1.00
684,3.38,0.4323,1,1.000,1.00
692,3.45,0.4385,1,1.000,1.00
701,3.52,0.4441,1,1.000,1.00
710,3.60,0.4499,1,1.000,1.00
719,3.68,0.4560,1,1.000,1.00
727,3.75,0.4618,1,1.000,1.00
736,3.83,0.4674,1,1.000,1.00
744,3.90,0.4731,1,1.000,1.00
752,3.98,0.4783,1,1.000,1.00
761,4.06,0.4838,1,1.000,1.00
770,4.14,0.4895,1,1.000,1.00
779,4.23,0.4951,1,1.000,1.00
787,4.30,0.5013,1,1.000,1.00
795,4.39,0.5066,1,1.000,1.00
805,4.48,0.5122,1,1.000,1.00
813,4.56,0.5185,1,1.000,1.00
823,4.66,0.5279,1,1.000,1.00
831,4.75,0.5352,1,1.000,1.00
839,4.83,0.5413,1,1.000,1.00
847,4.92,0.5474,1,1.000,1.00
856,5.01,0.5531,1,1.000,1.00
865,5.12,0.5593,1,1.000,1.00
875,5.23,0.5661,1,1.000,1.00
884,5.33,0.5733,1,1.000,1.00
893,5.43,0.5807,1,1.000,1.00
902,5.53,0.5881,1,1.000,1.00
911,5.63,0.5955,1,1.000,1.00
920,5.74,0.6026,1,1.000,1.00
929,5.84,0.6100,1,1.000,1.00
937,5.94,0.6173,1,1.000,1.00
946,6.04,0.6243,1,1.000,1.00
955,6.15,0.6312,1,1.000,1.00
964,6.27,0.6386,1,1.000,1.00
973,6.37,0.6465,1,1.000,1.00
981,6.48,0.6540,1,1.000,1.00
990,6.59,0.6612,1,1.000,1.00
999,6.72,0.6686,1,1.000,1.00
1009,6.85,0.6785,1,1.000,1.00
1018,6.97,0.6872,1,1.000,1.00
1027,7.09,0.6960,1,1.000,1.00
1037,7.23,0.7061,1,1.000,1.00
1046,7.37,0.7154,1,1.000,1.00
1055,7.49,0.7238,1,1.000,1.00
1063,7.61,0.7324,1,1.000,1.00
1073,7.76,0.7422,1,1.000,1.00
1081,7.89,0.7507,1,1.000,1.00
1090,8.02,0.7592,1,1.000,1.00
1099,8.16,0.7672,1,1.000,1.00
1108,8.30,0.7754,1,1.000,1.00
1117,8.45,0.7840,1,1.000,1.00
1128,8.62,0.7927,1,1.000,1.00
1137,8.76,0.8015,1,1.000,1.00
1146,8.91,0.8104,1,1.000,1.00
1155,9.05,0.8194,1,1.000,1.00
1164,9.21,0.8287,1,1.000,1.00
1174,9.37,0.8376,1,1.000,1.00
1183,9.52,0.8466,1,1.000,1.00
1192,9.67,0.8555,1,1.000,1.00
1201,9.84,0.8601,1,1.000,1.00
1210,9.99,0.8648,1,1.000,1.00
1219,10.15,0.8699,1,1.000,1.00
1227,10.29,0.8732,1,1.000,1.00
1237,10.47,0.8798,1,1.000,1.00
1245,10.63,0.8842,1,1.000,1.00
1254,10.78,0.8898,1,1.000,1.00
1263,10.94,0.8949,1,1.000,1.00
1272,11.12,0.8998,1,1.000,1.00
1282,11.30,0.9051,1,1.000,1.00
1293,11.51,0.9107,1,1.000,1.00
1302,11.68,0.9166,1,1.000,1.00
1311,11.87,0.9235,2,1.000,1.00
1322,12.08,0.9125,2,1.000,1.91
