ms,speed,rpm,gear,throttle,mult
10,0.10,0.2000,1,0.000,1.00
21,0.20,0.2000,1,1.000,1.00
30,0.29,0.2090,1,1.000,1.00
38,0.37,0.2174,1,1.000,1.00
47,0.46,0.2262,1,1.000,1.00
57,0.56,0.2365,1,1.000,1.00
67,0.65,0.2461,1,1.000,1.00
76,0.75,0.2558,1,1.000,1.00
86,0.85,0.2658,1,1.000,1.00
96,0.94,0.2751,1,1.000,1.00
104,1.02,0.2836,1,1.000,1.00
114,1.11,0.2931,1,1.000,1.00
123,1.20,0.3022,1,1.000,1.00
131,1.29,0.3106,1,1.000,1.00
140,1.36,0.3192,1,1.000,1.00
149,1.42,0.3282,1,1.000,1.00
159,1.47,0.3178,1,1.000,1.00
169,1.51,0.3078,1,1.000,1.00
179,1.53,0.2976,1,1.000,1.00
189,1.54,0.2884,1,1.000,1.00
197,1.54,0.2798,1,1.000,1.00
206,1.53,0.2712,1,1.000,1.00
215,1.52,0.2624,1,1.000,1.00
224,1.50,0.2533,1,1.000,1.00
233,1.47,0.2442,1,1.000,1.00
242,1.43,0.2346,1,1.000,1.00
252,1.38,0.2253,1,1.000,1.00
261,1.33,0.2160,1,1.000,1.00
270,1.28,0.2072,1,1.000,1.00
279,1.22,0.2000,1,1.000,1.00
291,1.15,0.2086,1,1.000,1.00
302,1.07,0.2193,1,1.000,1.00
315,0.99,0.2324,1,1.000,1.00
327,0.92,0.2443,1,1.000,1.00
337,0.86,0.2544,1,1.000,1.00
346,0.82,0.2632,1,1.000,1.00
355,0.80,0.2727,1,1.000,1.00
364,0.78,0.2821,1,1.000,1.00
374,0.79,0.2916,1,1.000,1.00
383,0.80,0.3004,1,1.000,1.00
391,0.83,0.3091,1,1.000,1.00
400,0.86,0.3178,1,1.000,1.00
410,0.91,0.3277,1,1.000,1.00
420,0.96,0.3374,1,1.000,1.00
428,1.01,0.3459,1,1.000,1.00
437,1.05,0.3545,1,1.000,1.00
446,1.10,0.3633,1,1.000,1.00
454,1.14,0.3721,1,1.000,1.00
463,1.18,0.3803,1,1.000,1.00
473,1.23,0.3909,1,1.000,1.00
482,1.27,0.3996,1,1.000,1.00
491,1.31,0.4086,1,1.000,1.00
500,1.34,0.4175,1,1.000,1.00
508,1.37,0.4261,1,1.000,1.00
516,1.39,0.4342,1,1.000,1.00
525,1.42,0.4424,1,1.000,1.00
533,1.44,0.4511,1,1.000,1.00
543,1.47,0.4603,1,1.000,1.00
551,1.49,0.4691,1,1.000,1.00
560,1.51,0.4777,1,1.000,1.00
569,1.53,0.4868,1,1.000,1.00
579,1.55,0.4968,1,1.000,1.00
589,1.57,0.5063,1,1.000,1.00
599,1.59,0.5163,1,1.000,1.00
608,1.60,0.5260,1,1.000,1.00
617,1.61,0.5349,1,1.000,1.00
626,1.63,0.5439,1,1.000,1.00
635,1.64,0.5527,1,1.000,1.00
644,1.66,0.5617,1,1.000,1.00
653,1.67,0.5708,1,1.000,1.00
661,1.69,0.5791,1,1.000,1.00
670,1.70,0.5874,1,1.000,1.00
678,1.72,0.5961,1,1.000,1.00
687,1.73,0.6048,1,1.000,1.00
696,1.75,0.6134,1,1.000,1.00
706,1.77,0.6235,1,1.000,1.00
715,1.79,0.6328,1,1.000,1.00
725,1.81,0.6423,1,1.000,1.00
735,1.84,0.6526,1,1.000,1.00
745,1.86,0.6625,1,1.000,1.00
754,1.88,0.6713,1,1.000,1.00
762,1.90,0.6793,1,1.000,1.00
770,1.92,0.6878,1,1.000,1.00
778,1.95,0.6962,1,1.000,1.00
787,1.97,0.7048,1,1.000,1.00
795,1.99,0.7132,1,1.000,1.00
804,2.02,0.7218,1,1.000,1.00
813,2.05,0.7307,1,1.000,1.00
822,2.07,0.7394,1,1.000,1.00
830,2.10,0.7474,1,1.000,1.00
838,2.13,0.7555,1,1.000,1.00
846,2.16,0.7642,1,1.000,1.00
855,2.18,0.7723,1,1.000,1.00
864,2.21,0.7814,1,1.000,1.00
873,2.24,0.7905,1,1.000,1.00
882,2.28,0.7997,1,1.000,1.00
893,2.31,0.8105,1,1.000,1.00
902,2.35,0.8199,1,1.000,1.00
911,2.38,0.8291,1,1.000,1.00
922,2.42,0.8398,1,1.000,1.00
931,2.45,0.8491,1,1.000,1.00
941,2.49,0.8591,1,1.000,1.00
950,2.52,0.8679,1,1.000,1.00
959,2.56,0.8767,1,1.000,1.00
969,2.59,0.8863,1,1.000,1.00
977,2.63,0.8951,1,1.000,1.00
986,2.66,0.9035,1,1.000,1.00
995,2.70,0.9125,1,1.000,1.00
1004,2.74,0.9215,1,1.000,1.00
1016,2.79,0.9338,1,1.000,1.00
1026,2.83,0.9440,1,1.000,1.00
1037,2.87,0.9544,1,1.000,1.00
1048,2.92,0.9659,1,1.000,1.00
1059,2.97,0.9765,1,1.000,1.00
1071,3.03,0.9887,1,1.000,1.00
1082,3.08,1.0000,1,1.000,1.00
1091,3.12,1.0000,1,1.000,1.00
1102,3.17,1.0000,1,1.000,1.00
1112,3.22,1.0000,1,1.000,1.00
1124,3.28,1.0000,1,1.000,1.00
1137,3.34,1.0000,1,1.000,1.00
1147,3.39,1.0000,1,1.000,1.00
1156,3.43,1.0000,1,1.000,1.00
1166,3.49,1.0000,1,1.000,1.00
1176,3.54,1.0000,1,1.000,1.00
1186,3.59,1.0000,1,1.000,1.00
1195,3.64,1.0000,1,1.000,1.00
1206,3.69,1.0000,1,1.000,1.00
1217,3.75,1.0000,1,1.000,1.00
1226,3.80,1.0000,1,1.000,1.00
1234,3.85,1.0000,1,1.000,1.00
1243,3.90,1.0000,1,1.000,1.00
1252,3.95,1.0000,1,1.000,1.00
1260,4.00,1.0000,1,1.000,1.00
1269,4.05,1.0000,1,1.000,1.00
1278,4.10,1.0000,1,1.000,1.00
1289,4.16,1.0000,1,1.000,1.00
1300,4.23,1.0000,1,1.000,1.00
1309,4.29,1.0000,1,1.000,1.00
1319,4.34,1.0000,1,1.000,1.00
1328,4.40,1.0000,1,1.000,1.00
1337,4.45,1.0000,1,1.000,1.00
1345,4.51,1.0000,1,1.000,1.00
1354,4.56,1.0000,1,1.000,1.00
1362,4.61,1.0000,1,1.000,1.00
1371,4.67,1.0000,1,1.000,1.00
1382,4.74,1.0000,1,1.000,1.00
1391,4.80,1.0000,1,1.000,1.00
1402,4.87,1.0000,1,1.000,1.00
1411,4.93,1.0000,1,1.000,1.00
1420,4.99,1.0000,1,1.000,1.00
1429,5.05,1.0000,1,1.000,1.00
1439,5.11,1.0000,1,1.000,1.00
1448,5.18,1.0000,1,1.000,1.00
1457,5.24,1.0000,1,1.000,1.00
1465,5.30,1.0000,1,1.000,1.00
1475,5.37,1.0000,1,1.000,1.00
1484,5.43,1.0000,1,1.000,1.00
1493,5.50,1.0000,1,1.000,1.00
1505,5.58,1.0000,1,1.000,1.00
1515,5.65,1.0000,1,1.000,1.00
1524,5.73,1.0000,1,1.000,1.00
1533,5.79,1.0000,1,1.000,1.00
1542,5.86,1.0000,1,1.000,1.00
1551,5.93,1.0000,1,1.000,1.00
1561,6.00,1.0000,1,1.000,1.00
1570,6.07,1.0000,1,1.000,1.00
1580,6.15,1.0000,1,1.000,1.00
1590,6.23,1.0000,1,1.000,1.00
1602,6.33,1.0000,1,1.000,1.00
1612,6.40,1.0000,1,1.000,1.00
1621,6.47,1.0000,1,1.000,1.00
1631,6.56,1.0000,1,1.000,1.00
1640,6.63,1.0000,1,1.000,1.00
1650,6.71,1.0000,1,1.000,1.00
1659,6.79,1.0000,1,1.000,1.00
1668,6.86,1.0000,1,1.000,1.00
1677,6.94,1.0000,1,1.000,1.00
1687,7.02,1.0000,2,1.000,1.00
1698,7.12,0.9889,2,1.000,1.73
1709,7.22,0.9772,2,1.000,1.71
1720,7.31,0.9662,2,1.000,1.70
1730,7.39,0.9571,2,1.000,1.68
1738,7.47,0.9483,2,1.000,1.67
1749,7.56,0.9379,2,1.000,1.65
1759,7.65,0.9273,2,1.000,1.63
1769,7.73,0.9180,2,1.000,1.61
1777,7.81,0.9095,2,1.000,1.60
1787,7.90,0.8996,2,1.000,1.58
1796,7.98,0.8904,2,1.000,1.57
1806,8.07,0.8841,2,1.000,1.55
1815,8.16,0.8921,2,1.000,1.54
1824,8.24,0.9000,2,1.000,1.52
1833,8.32,0.9071,2,1.000,1.51
1842,8.41,0.9137,2,1.000,1.49
1851,8.50,0.9202,2,1.000,1.48
1860,8.58,0.9270,2,1.000,1.46
1868,8.66,0.9331,2,1.000,1.45
1877,8.75,0.9390,2,1.000,1.43
1886,8.84,0.9449,2,1.000,1.42
1895,8.93,0.9509,2,1.000,1.40
1905,9.03,0.9568,2,1.000,1.39
1913,9.12,0.9625,2,1.000,1.37
1923,9.21,0.9679,2,1.000,1.36
1931,9.31,0.9732,2,1.000,1.34
1941,9.41,0.9783,2,1.000,1.33
1951,9.51,0.9839,2,1.000,1.31
1960,9.61,0.9891,2,1.000,1.30
1970,9.71,0.9939,2,1.000,1.28
1979,9.81,0.9988,2,1.000,1.26
1990,9.93,1.0000,2,1.000,1.25
1999,10.02,1.0000,2,1.000,1.23
2008,10.12,1.0000,2,1.000,1.22
2017,10.22,1.0000,2,1.000,1.20
2027,10.32,1.0000,2,1.000,1.18
2037,10.43,1.0000,2,1.000,1.17
2046,10.53,1.0000,2,1.000,1.15
2055,10.63,1.0000,2,1.000,1.14
2066,10.75,1.0000,2,1.000,1.12
2076,10.86,1.0000,2,1.000,1.10
2086,10.97,1.0000,2,1.000,1.09
2096,11.06,1.0000,2,1.000,1.07
2105,11.17,1.0000,2,1.000,1.05
2117,11.31,1.0000,2,1.000,1.03
2126,11.42,1.0000,2,1.000,1.02
2135,11.53,1.0000,2,1.000,1.00
2144,11.65,1.0000,2,1.000,1.00
2154,11.77,0.9905,2,1.000,1.00
2163,11.89,0.9812,2,1.000,1.00
2175,12.05,0.9694,2,1.000,1.00
2185,12.18,0.9595,2,1.000,1.00
2193,12.30,0.9507,2,1.000,1.00
2203,12.43,0.9411,2,1.000,1.00
2212,12.55,0.9322,2,1.000,1.00
2221,12.67,0.9236,2,1.000,1.00
2229,12.79,0.9148,2,1.000,1.00
2239,12.93,0.9048,2,1.000,1.00
2250,13.08,0.8939,2,1.000,1.00
2262,13.24,0.8822,2,1.000,1.00
2273,13.40,0.8713,2,1.000,1.00
2285,13.58,0.8586,2,1.000,1.00
2295,13.72,0.8488,2,1.000,1.00
2305,13.85,0.8395,2,1.000,1.00
2314,13.98,0.8303,2,1.000,1.00
2323,14.11,0.8211,2,1.000,1.00
2333,14.25,0.8114,2,1.000,1.00
2342,14.39,0.8018,2,1.000,1.00
2351,14.51,0.7932,2,1.000,1.00
2360,14.65,0.7842,2,1.000,1.00
2368,14.77,0.7756,2,1.000,1.00
2377,14.90,0.7667,2,1.000,1.00
2386,15.03,0.7655,2,1.000,1.00
2396,15.17,0.7715,2,1.000,1.00
2405,15.30,0.7774,2,1.000,1.00
2413,15.42,0.7837,2,1.000,1.00
2422,15.54,0.7896,2,1.000,1.00
2433,15.68,0.7953,2,1.000,1.00
2443,15.81,0.8007,2,1.000,1.00
2452,15.92,0.8070,2,1.000,1.00
2460,16.02,0.8130,2,1.000,1.00
2470,16.14,0.8185,2,1.000,1.00
2478,16.24,0.8231,2,1.000,1.00
2487,16.34,0.8286,2,1.000,1.00
2495,16.43,0.8330,2,1.000,1.00
2504,16.52,0.8376,2,1.000,1.00
2513,16.62,0.8419,2,1.000,1.00
2522,16.72,0.8461,2,1.000,1.00
2532,16.82,0.8506,2,1.000,1.00
2541,16.92,0.8550,2,1.000,1.00
2551,17.01,0.8595,2,1.000,1.00
2561,17.10,0.8640,2,1.000,1.00
2572,17.21,0.8685,2,1.000,1.00
2584,17.32,0.8725,2,1.000,1.00
2595,17.41,0.8773,2,1.000,1.00
2606,17.51,0.8824,2,1.000,1.00
