ms,speed,rpm,gear,throttle,mult
9,0.10,0.2000,1,0.000,1.00
19,0.19,0.2000,1,1.000,1.00
28,0.28,0.2090,1,1.000,1.00
37,0.37,0.2182,1,1.000,1.00
47,0.46,0.2277,1,1.000,1.00
56,0.55,0.2368,1,1.000,1.00
64,0.63,0.2453,1,1.000,1.00
73,0.72,0.2539,1,1.000,1.00
81,0.80,0.2626,1,1.000,1.00
90,0.89,0.2713,1,1.000,1.00
99,0.97,0.2800,1,1.000,1.00
107,1.06,0.2885,1,1.000,1.00
115,1.14,0.2966,1,1.000,1.00
124,1.22,0.3051,1,1.000,1.00
132,1.30,0.3135,1,1.000,1.00
141,1.39,0.3223,1,1.000,1.00
151,1.45,0.3318,1,1.000,1.00
161,1.47,0.3419,1,1.000,1.00
172,1.47,0.3529,1,1.000,1.00
181,1.46,0.3623,1,1.000,1.00
190,1.44,0.3716,1,1.000,1.00
202,1.40,0.3831,1,1.000,1.00
213,1.36,0.3943,1,1.000,1.00
225,1.30,0.4061,1,1.000,1.00
235,1.23,0.4163,1,1.000,1.00
246,1.16,0.4271,1,1.000,1.00
256,1.10,0.4367,1,1.000,1.00
265,1.04,0.4460,1,1.000,1.00
275,0.98,0.4558,1,1.000,1.00
284,0.93,0.4648,1,1.000,1.00
292,0.90,0.4736,1,1.000,1.00
301,0.87,0.4825,1,1.000,1.00
311,0.86,0.4917,1,1.000,1.00
319,0.86,0.4997,1,1.000,1.00
328,0.87,0.5088,1,1.000,1.00
337,0.90,0.5185,1,1.000,1.00
346,0.94,0.5270,1,1.000,1.00
354,0.99,0.5354,1,1.000,1.00
363,1.05,0.5437,1,1.000,1.00
371,1.10,0.5524,1,1.000,1.00
381,1.16,0.5618,1,1.000,1.00
389,1.21,0.5705,1,1.000,1.00
398,1.26,0.5789,1,1.000,1.00
407,1.31,0.5879,1,1.000,1.00
416,1.36,0.5920,1,1.000,1.00
425,1.40,0.5938,1,1.000,1.00
434,1.44,0.5958,1,1.000,1.00
442,1.48,0.5975,1,1.000,1.00
451,1.51,0.5993,1,1.000,1.00
459,1.55,0.6011,1,1.000,1.00
469,1.59,0.6028,1,1.000,1.00
478,1.62,0.6048,1,1.000,1.00
486,1.65,0.6067,1,1.000,1.00
495,1.68,0.6084,1,1.000,1.00
503,1.71,0.6102,1,1.000,1.00
513,1.74,0.6119,1,1.000,1.00
522,1.77,0.6140,1,1.000,1.00
531,1.80,0.6158,1,1.000,1.00
541,1.83,0.6177,1,1.000,1.00
550,1.86,0.6197,1,1.000,1.00
558,1.89,0.6215,1,1.000,1.00
566,1.92,0.6231,1,1.000,1.00
574,1.95,0.6248,1,1.000,1.00
583,1.98,0.6266,1,1.000,1.00
592,2.01,0.6284,1,1.000,1.00
