ms,speed,rpm,gear,throttle,mult
9,0.00,0.2000,1,0.000,1.00
19,0.03,0.2000,1,1.000,1.00
28,0.05,0.2000,1,1.000,1.00
37,0.08,0.2000,1,1.000,1.00
46,0.10,0.2000,1,1.000,1.00
55,0.12,0.2000,1,1.000,1.00
63,0.14,0.2000,1,1.000,1.00
71,0.16,0.2000,1,1.000,1.00
81,0.18,0.2000,1,1.000,1.00
91,0.21,0.2000,1,1.000,1.00
100,0.23,0.2000,1,1.000,1.00
109,0.25,0.2000,1,1.000,1.00
118,0.27,0.2000,1,1.000,1.00
126,0.30,0.2000,1,1.000,1.00
134,0.32,0.2000,1,1.000,1.00
143,0.34,0.2000,1,1.000,1.00
151,0.36,0.2000,1,1.000,1.00
159,0.39,0.2000,1,1.000,1.00
168,0.41,0.2000,1,1.000,1.00
177,0.44,0.2000,1,1.000,1.00
186,0.46,0.2000,1,1.000,1.00
196,0.49,0.2000,1,1.000,1.00
204,0.52,0.2000,1,1.000,1.00
214,0.55,0.2000,1,1.000,1.00
222,0.57,0.2000,1,1.000,1.00
231,0.60,0.2000,1,1.000,1.00
240,0.63,0.2000,1,1.000,1.00
249,0.66,0.2000,1,1.000,1.00
257,0.69,0.2000,1,1.000,1.00
268,0.72,0.2000,1,1.000,1.00
278,0.76,0.2000,1,1.000,1.00
286,0.79,0.2000,1,1.000,1.00
294,0.82,0.2000,1,1.000,1.00
303,0.85,0.2000,1,1.000,1.00
311,0.88,0.2000,1,1.000,1.00
320,0.91,0.2000,1,1.000,1.00
330,0.94,0.2000,1,1.000,1.00
338,0.98,0.2000,1,1.000,1.00
348,1.01,0.2000,1,1.000,1.00
357,1.05,0.2000,1,1.000,1.00
365,1.08,0.2036,1,1.000,1.00
374,1.12,0.2088,1,1.000,1.00
384,1.15,0.2143,1,1.000,1.00
394,1.20,0.2199,1,1.000,1.00
404,1.24,0.2262,1,1.000,1.00
414,1.28,0.2320,1,1.000,1.00
424,1.32,0.2384,1,1.000,1.00
433,1.36,0.2443,1,1.000,1.00
442,1.40,0.2498,1,1.000,1.00
451,1.44,0.2552,1,1.000,1.00
460,1.47,0.2606,1,1.000,1.00
