ms,speed,rpm,gear,throttle,mult
11,0.00,0.2000,1,0.000,1.00
20,0.07,0.2000,1,1.000,1.00
30,0.13,0.2000,1,1.000,1.00
38,0.18,0.2000,1,1.000,1.00
46,0.23,0.2000,1,1.000,1.00
55,0.27,0.2000,1,1.000,1.00
64,0.31,0.2000,1,1.000,1.00
72,0.34,0.2000,1,1.000,1.00
81,0.37,0.2000,1,1.000,1.00
89,0.39,0.2000,1,1.000,1.00
98,0.42,0.2000,1,1.000,1.00
107,0.44,0.2000,1,1.000,1.00
116,0.46,0.2000,1,1.000,1.00
126,0.49,0.2000,1,1.000,1.00
136,0.50,0.2000,1,1.000,1.00
148,0.53,0.2000,1,1.000,1.00
163,0.55,0.2000,1,1.000,1.00
175,0.56,0.2000,1,1.000,1.00
185,0.57,0.2000,1,1.000,1.00
195,0.59,0.2000,1,1.000,1.00
203,0.60,0.2000,1,1.000,1.00
211,0.61,0.2000,1,1.000,1.00
222,0.63,0.2000,1,1.000,1.00
231,0.64,0.2000,1,1.000,1.00
241,0.66,0.2000,1,1.000,1.00
249,0.67,0.2000,1,1.000,1.00
259,0.69,0.2000,1,1.000,1.00
271,0.71,0.2000,1,1.000,1.00
280,0.73,0.2000,1,1.000,1.00
289,0.75,0.2000,1,1.000,1.00
298,0.77,0.2000,1,1.000,1.00
306,0.79,0.2000,1,1.000,1.00
315,0.81,0.2000,1,1.000,1.00
324,0.83,0.2000,1,1.000,1.00
332,0.85,0.2036,1,1.000,1.00
341,0.87,0.2113,1,1.000,1.00
349,0.89,0.2190,1,1.000,1.00
357,0.91,0.2266,1,1.000,1.00
365,0.93,0.2340,1,1.000,1.00
374,0.96,0.2418,1,1.000,1.00
382,0.98,0.2496,1,1.000,1.00
390,1.00,0.2569,1,1.000,1.00
398,1.03,0.2647,1,1.000,1.00
407,1.05,0.2722,1,1.000,1.00
415,1.07,0.2800,1,1.000,1.00
422,1.10,0.2873,1,1.000,1.00
430,1.12,0.2944,1,1.000,1.00
439,1.15,0.3019,1,1.000,1.00
448,1.17,0.3100,1,1.000,1.00
