ms,speed,rpm,gear,throttle,mult
9,0.10,0.2000,1,0.000,1.00
19,0.19,0.2000,1,1.000,1.00
29,0.29,0.2098,1,1.000,1.00
37,0.37,0.2184,1,1.000,1.00
46,0.46,0.2272,1,1.000,1.00
54,0.54,0.2354,1,1.000,1.00
63,0.62,0.2444,1,1.000,1.00
75,0.74,0.2560,1,1.000,1.00
84,0.83,0.2654,1,1.000,1.00
93,0.92,0.2741,1,1.000,1.00
102,1.01,0.2833,1,1.000,1.00
112,1.10,0.2933,1,1.000,1.00
120,1.18,0.3016,1,1.000,1.00
129,1.27,0.3099,1,1.000,1.00
138,1.36,0.3190,1,1.000,1.00
147,1.43,0.3283,1,1.000,1.00
156,1.46,0.3196,1,1.000,1.00
164,1.50,0.3112,1,1.000,1.00
173,1.52,0.3026,1,1.000,1.00
181,1.53,0.2946,1,1.000,1.00
190,1.54,0.2854,1,1.000,1.00
198,1.54,0.2771,1,1.000,1.00
207,1.53,0.2680,1,1.000,1.00
217,1.52,0.2588,1,1.000,1.00
226,1.49,0.2496,1,1.000,1.00
235,1.46,0.2406,1,1.000,1.00
245,1.42,0.2308,1,1.000,1.00
253,1.37,0.2222,1,1.000,1.00
262,1.32,0.2131,1,1.000,1.00
271,1.27,0.2044,1,1.000,1.00
279,1.21,0.2016,1,1.000,1.00
288,1.16,0.2101,1,1.000,1.00
296,1.10,0.2186,1,1.000,1.00
305,1.04,0.2275,1,1.000,1.00
314,0.98,0.2363,1,1.000,1.00
322,0.93,0.2443,1,1.000,1.00
331,0.88,0.2536,1,1.000,1.00
340,0.84,0.2619,1,1.000,1.00
348,0.81,0.2701,1,1.000,1.00
357,0.79,0.2792,1,1.000,1.00
365,0.78,0.2878,1,1.000,1.00
374,0.79,0.2964,1,1.000,1.00
383,0.80,0.3049,1,1.000,1.00
391,0.83,0.3134,1,1.000,1.00
400,0.87,0.3219,1,1.000,1.00
409,0.91,0.3309,1,1.000,1.00
418,0.96,0.3406,1,1.000,1.00
428,1.01,0.3500,1,1.000,1.00
436,1.06,0.3587,1,1.000,1.00
446,1.11,0.3683,1,1.000,1.00
455,1.16,0.3776,1,1.000,1.00
464,1.20,0.3863,1,1.000,1.00
474,1.24,0.3964,1,1.000,1.00
484,1.29,0.4068,1,1.000,1.00
494,1.32,0.4164,1,1.000,1.00
503,1.36,0.4253,1,1.000,1.00
512,1.39,0.4344,1,1.000,1.00
521,1.42,0.4439,1,1.000,1.00
530,1.44,0.4527,1,1.000,1.00
539,1.46,0.4616,1,1.000,1.00
548,1.49,0.4706,1,1.000,1.00
557,1.51,0.4793,1,1.000,1.00
567,1.53,0.4895,1,1.000,1.00
576,1.54,0.4981,1,1.000,1.00
585,1.56,0.5072,1,1.000,1.00
