ms,speed,rpm,gear,throttle,mult
9,0.09,0.2000,1,0.000,1.00
22,0.21,0.2000,1,1.000,1.00
32,0.31,0.2100,1,1.000,1.00
41,0.40,0.2191,1,1.000,1.00
50,0.49,0.2282,1,1.000,1.00
59,0.58,0.2375,1,1.000,1.00
68,0.66,0.2458,1,1.000,1.00
77,0.75,0.2547,1,1.000,1.00
85,0.83,0.2633,1,1.000,1.00
95,0.93,0.2728,1,1.000,1.00
103,1.01,0.2816,1,1.000,1.00
112,1.10,0.2906,1,1.000,1.00
121,1.19,0.2992,1,1.000,1.00
130,1.27,0.3077,1,1.000,1.00
138,1.35,0.3160,1,1.000,1.00
146,1.42,0.3245,1,1.000,1.00
155,1.46,0.3332,1,1.000,1.00
164,1.47,0.3421,1,1.000,1.00
172,1.47,0.3506,1,1.000,1.00
181,1.47,0.3594,1,1.000,1.00
192,1.45,0.3699,1,1.000,1.00
204,1.42,0.3817,1,1.000,1.00
216,1.37,0.3938,1,1.000,1.00
225,1.31,0.4032,1,1.000,1.00
236,1.25,0.4145,1,1.000,1.00
247,1.18,0.4247,1,1.000,1.00
257,1.11,0.4355,1,1.000,1.00
268,1.04,0.4466,1,1.000,1.00
280,0.98,0.4580,1,1.000,1.00
290,0.93,0.4685,1,1.000,1.00
301,0.89,0.4795,1,1.000,1.00
312,0.87,0.4903,1,1.000,1.00
321,0.87,0.4995,1,1.000,1.00
331,0.87,0.5089,1,1.000,1.00
340,0.91,0.5178,1,1.000,1.00
349,0.96,0.5272,1,1.000,1.00
359,1.02,0.5367,1,1.000,1.00
369,1.09,0.5469,1,1.000,1.00
378,1.14,0.5558,1,1.000,1.00
386,1.19,0.5643,1,1.000,1.00
395,1.24,0.5731,1,1.000,1.00
403,1.29,0.5816,1,1.000,1.00
412,1.33,0.5899,1,1.000,1.00
421,1.38,0.5928,1,1.000,1.00
431,1.42,0.5947,1,1.000,1.00
442,1.47,0.5967,1,1.000,1.00
458,1.55,0.5989,1,1.000,1.00
470,1.59,0.6023,1,1.000,1.00
481,1.62,0.6048,1,1.000,1.00
490,1.65,0.6071,1,1.000,1.00
499,1.68,0.6089,1,1.000,1.00
509,1.71,0.6109,1,1.000,1.00
519,1.75,0.6128,1,1.000,1.00
529,1.78,0.6149,1,1.000,1.00
540,1.82,0.6169,1,1.000,1.00
549,1.85,0.6192,1,1.000,1.00
558,1.88,0.6211,1,1.000,1.00
567,1.91,0.6230,1,1.000,1.00
578,1.95,0.6249,1,1.000,1.00
587,1.98,0.6270,1,1.000,1.00
597,2.02,0.6289,1,1.000,1.00
607,2.05,0.6310,1,1.000,1.00
616,2.09,0.6331,1,1.000,1.00
625,2.12,0.6350,1,1.000,1.00
635,2.16,0.6368,1,1.000,1.00
646,2.21,0.6389,1,1.000,1.00
657,2.25,0.6411,1,1.000,1.00
668,2.30,0.6434,1,1.000,1.00
679,2.35,0.6456,1,1.000,1.00
688,2.39,0.6479,1,1.000,1.00
697,2.43,0.6498,1,1.000,1.00
708,2.48,0.6517,1,1.000,1.00
718,2.53,0.6540,1,1.000,1.00
728,2.58,0.6561,1,1.000,1.00
737,2.63,0.6580,1,1.000,1.00
746,2.67,0.6599,1,1.000,1.00
756,2.73,0.6618,1,1.000,1.00
765,2.77,0.6638,1,1.000,1.00
775,2.83,0.6657,1,1.000,1.00
785,2.88,0.6677,1,1.000,1.00
795,2.94,0.6698,1,1.000,1.00
804,2.99,0.6718,1,1.000,1.00
814,3.05,0.6738,1,1.000,1.00
823,3.10,0.6759,1,1.000,1.00
832,3.16,0.6776,1,1.000,1.00
842,3.22,0.6796,1,1.000,1.00
851,3.28,0.6816,1,1.000,1.00
862,3.34,0.6835,1,1.000,1.00
870,3.39,0.6856,1,1.000,1.00
879,3.45,0.6874,1,1.000,1.00
888,3.51,0.6893,1,1.000,1.00
897,3.56,0.6912,1,1.000,1.00
906,3.62,0.6930,1,1.000,1.00
916,3.69,0.6948,1,1.000,1.00
925,3.75,0.6968,1,1.000,1.00
934,3.81,0.6988,1,1.000,1.00
944,3.88,0.7007,1,1.000,1.00
954,3.95,0.7026,1,1.000,1.00
963,4.01,0.7046,1,1.000,1.00
974,4.09,0.7066,1,1.000,1.00
985,4.17,0.7088,1,1.000,1.00
996,4.25,0.7111,1,1.000,1.00
1009,4.34,0.7134,1,1.000,1.00
1023,4.45,0.7160,1,1.000,1.00
1034,4.53,0.7190,1,1.000,1.00
1044,4.61,0.7212,1,1.000,1.00
1053,4.68,0.7232,1,1.000,1.00
1062,4.74,0.7251,1,1.000,1.00
1070,4.81,0.7269,1,1.000,1.00
1080,4.89,0.7287,1,1.000,1.00
1090,4.97,0.7308,1,1.000,1.00
1099,5.05,0.7327,1,1.000,1.00
1110,5.14,0.7347,1,1.000,1.00
1119,5.21,0.7369,1,1.000,1.00
1128,5.29,0.7388,1,1.000,1.00
1137,5.36,0.7406,1,1.000,1.00
1146,5.44,0.7424,1,1.000,1.00
1155,5.52,0.7443,1,1.000,1.00
1164,5.61,0.7462,1,1.000,1.00
1174,5.69,0.7481,1,1.000,1.00
1183,5.78,0.7501,1,1.000,1.00
1193,5.87,0.7521,1,1.000,1.00
1201,5.95,0.7540,1,1.000,1.00
1210,6.03,0.7557,1,1.000,1.00
1220,6.13,0.7576,1,1.000,1.00
1229,6.22,0.7596,1,1.000,1.00
1238,6.31,0.7615,1,1.000,1.00
1247,6.39,0.7633,1,1.000,1.00
1256,6.48,0.7651,1,1.000,1.00
1265,6.58,0.7670,1,1.000,1.00
1274,6.67,0.7689,1,1.000,1.00
1282,6.76,0.7707,1,1.000,1.00
1291,6.86,0.7725,1,1.000,1.00
1300,6.96,0.7743,1,1.000,1.00
1310,7.06,0.7762,1,1.000,1.00
1318,7.16,0.7850,1,1.000,1.00
1327,7.25,0.7918,1,1.000,1.00
1335,7.35,0.7949,1,1.000,1.00
1345,7.46,0.7979,1,1.000,1.00
1355,7.58,0.8009,1,1.000,1.00
1363,7.68,0.8043,1,1.000,1.00
1372,7.78,0.8080,1,1.000,1.00
1381,7.90,0.8173,1,1.000,1.00
1392,8.03,0.8255,1,1.000,1.00
1401,8.15,0.8288,1,1.000,1.00
1411,8.27,0.8327,1,1.000,1.00
1419,8.38,0.8363,1,1.000,1.00
1427,8.48,0.8401,1,1.000,1.00
1436,8.60,0.8434,1,1.000,1.00
1447,8.75,0.8467,1,1.000,1.00
1457,8.88,0.8502,1,1.000,1.00
1465,8.99,0.8550,1,1.000,1.00
1475,9.12,0.8590,1,1.000,1.00
1485,9.25,0.8624,1,1.000,1.00
1494,9.38,0.8666,1,1.000,1.00
1504,9.52,0.8708,1,1.000,1.00
1512,9.63,0.8748,1,1.000,1.00
1521,9.76,0.8796,1,1.000,1.00
1530,9.89,0.8838,1,1.000,1.00
1539,10.02,0.8879,1,1.000,1.00
1548,10.16,0.8920,1,1.000,1.00
1557,10.31,0.8963,1,1.000,1.00
1567,10.46,0.9007,1,1.000,1.00
1577,10.61,0.9054,1,1.000,1.00
1587,10.77,0.9102,1,1.000,1.00
1598,10.95,0.9150,1,1.000,1.00
1607,11.10,0.9200,1,1.000,1.00
1617,11.25,0.9258,2,1.000,1.00
1627,11.42,0.9158,2,1.000,1.00
1636,11.57,0.9065,2,1.000,1.00
1646,11.73,0.8966,2,1.000,1.00
1655,11.88,0.8870,2,1.000,1.00
1665,12.05,0.8768,2,1.000,1.00
1675,12.20,0.8670,2,1.000,1.00
1684,12.35,0.8579,2,1.000,1.00
1693,12.50,0.8492,2,1.000,1.00
1702,12.64,0.8401,2,1.000,1.00
1712,12.80,0.8308,2,1.000,1.00
1721,12.95,0.8215,2,1.000,1.00
1729,13.09,0.8132,2,1.000,1.00
1738,13.23,0.8043,2,1.000,1.00
1747,13.39,0.7952,2,1.000,1.00
1757,13.52,0.7852,2,1.000,1.00
1766,13.68,0.7759,2,1.000,1.00
1777,13.85,0.7656,2,1.000,1.00
1786,14.01,0.7563,2,1.000,1.00
1799,14.24,0.7434,2,1.000,1.00
1813,14.48,0.7292,2,1.000,1.00
1829,14.77,0.7131,2,1.000,1.00
1846,15.08,0.6963,2,1.000,1.00
1862,15.36,0.6806,2,1.000,1.00
1877,15.65,0.6650,2,1.000,1.00
1888,15.85,0.6539,2,1.000,1.00
1898,16.04,0.6440,2,1.000,1.00
1908,16.22,0.6374,2,1.000,1.00
1918,16.41,0.6437,2,1.000,1.00
1927,16.58,0.6500,2,1.000,1.00
1936,16.74,0.6567,2,1.000,1.00
1945,16.91,0.6628,2,1.000,1.00
1954,17.10,0.6684,2,1.000,1.00
1963,17.27,0.6743,2,1.000,1.00
1972,17.44,0.6809,2,1.000,1.00
1981,17.62,0.6890,2,1.000,1.00
1989,17.81,0.6957,2,1.000,1.00
1998,17.99,0.7024,2,1.000,1.00
2006,18.17,0.7090,2,1.000,1.00
2015,18.37,0.7155,2,1.000,1.00
2024,18.57,0.7220,2,1.000,1.00
2033,18.77,0.7294,2,1.000,1.00
2042,18.95,0.7363,2,1.000,1.00
2052,19.17,0.7435,2,1.000,1.00
2061,19.36,0.7501,2,1.000,1.00
2070,19.52,0.7581,2,1.000,1.00
2079,19.70,0.7648,2,1.000,1.00
2088,19.87,0.7706,2,1.000,1.00
2098,20.04,0.7769,2,1.000,1.00
2110,20.24,0.7830,2,1.000,1.00
2122,20.40,0.7890,2,1.000,1.00
2133,20.58,0.7959,2,1.000,1.00
2145,20.77,0.8023,2,1.000,1.00
2158,20.96,0.8085,2,1.000,1.00
2172,21.15,0.8154,2,1.000,1.00
2184,21.32,0.8221,2,1.000,1.00
2194,21.45,0.8291,2,1.000,1.00
2204,21.57,0.8350,2,1.000,1.00
2214,21.70,0.8397,2,1.000,1.00
2224,21.82,0.8442,2,1.000,1.00
2233,21.93,0.8487,2,1.000,1.00
2243,22.04,0.8530,2,1.000,1.00
2253,22.15,0.8568,2,1.000,1.00
2262,22.25,0.8610,2,1.000,1.00
2272,22.35,0.8648,2,1.000,1.00
2281,22.44,0.8683,2,1.000,1.00
2290,22.53,0.8719,2,1.000,1.00
2299,22.61,0.8752,2,1.000,1.00
2307,22.69,0.8786,2,1.000,1.00
2316,22.78,0.8815,2,1.000,1.00
2325,22.85,0.8842,2,1.000,1.00
2333,22.93,0.8873,2,1.000,1.00
2343,23.01,0.8901,2,1.000,1.00
2352,23.08,0.8928,2,1.000,1.00
2360,23.15,0.8957,2,1.000,1.00
2368,23.21,0.8974,2,1.000,1.00
2377,23.28,0.9007,2,1.000,1.00
2386,23.34,0.9030,2,1.000,1.00
2394,23.41,0.9055,2,1.000,1.00
2403,23.48,0.9079,2,1.000,1.00
2413,23.55,0.9103,2,1.000,1.00
2421,23.61,0.9126,2,1.000,1.00
2430,23.66,0.9152,2,1.000,1.00
2438,23.72,0.9174,2,1.000,1.00
2448,23.79,0.9195,2,1.000,1.00
2457,23.85,0.5389,3,1.000,1.00
2468,23.92,0.5499,3,1.000,1.00
2477,23.98,0.5588,3,1.000,1.00
2485,24.03,0.5671,3,1.000,1.00
2495,24.08,0.5764,3,1.000,1.00
2504,24.14,0.5859,3,1.000,1.00
2513,24.19,0.5951,3,1.000,1.00
2522,24.24,0.6039,3,1.000,1.00
2532,24.30,0.6134,3,1.000,1.00
2541,24.35,0.6231,3,1.000,1.00
2550,24.39,0.6316,3,1.000,1.00
2558,24.44,0.6403,3,1.000,1.00
2568,24.49,0.6497,3,1.000,1.00
2577,24.54,0.6586,3,1.000,1.00
2586,24.58,0.6674,3,1.000,1.00
2596,24.63,0.6778,3,1.000,1.00
2606,24.68,0.6809,3,1.000,1.00
2615,24.73,0.6824,3,1.000,1.00
2624,24.77,0.6837,3,1.000,1.00
2634,24.82,0.6849,3,1.000,1.00
2644,24.87,0.6861,3,1.000,1.00
2653,24.91,0.6873,3,1.000,1.00
2662,24.96,0.6886,3,1.000,1.00
2672,25.00,0.6899,3,1.000,1.00
2685,25.06,0.6910,3,1.000,1.00
2693,25.10,0.6921,3,1.000,1.00
2702,25.14,0.6938,3,1.000,1.00
2712,25.19,0.6948,3,1.000,1.00
2721,25.22,0.6959,3,1.000,1.00
2732,25.28,0.6972,3,1.000,1.00
2742,25.32,0.6982,3,1.000,1.00
2751,25.36,0.6996,3,1.000,1.00
2760,25.40,0.7007,3,1.000,1.00
2769,25.44,0.7018,3,1.000,1.00
2779,25.48,0.7028,3,1.000,1.00
2787,25.51,0.7038,3,1.000,1.00
2797,25.56,0.7051,3,1.000,1.00
2806,25.59,0.7061,3,1.000,1.00
2815,25.63,0.7072,3,1.000,1.00
2824,25.67,0.7082,3,1.000,1.00
2833,25.71,0.7092,3,1.000,1.00
2842,25.74,0.7102,3,1.000,1.00
2851,25.78,0.7113,3,1.000,1.00
2861,25.82,0.7122,3,1.000,1.00
2871,25.86,0.7132,3,1.000,1.00
2879,25.90,0.7145,3,1.000,1.00
2888,25.93,0.7155,3,1.000,1.00
2897,25.97,0.7165,3,1.000,1.00
2906,26.01,0.7174,3,1.000,1.00
2915,26.04,0.7184,3,1.000,1.00
2923,26.08,0.7194,3,1.000,1.00
2933,26.11,0.7204,3,1.000,1.00
2941,26.15,0.7213,3,1.000,1.00
2951,26.18,0.7224,3,1.000,1.00
2960,26.22,0.7233,3,1.000,1.00
2968,26.25,0.7243,3,1.000,1.00
2977,26.29,0.7253,3,1.000,1.00
2986,26.32,0.7262,3,1.000,1.00
2994,26.35,0.7272,3,1.000,1.00
3003,26.39,0.7281,3,1.000,1.00
3012,26.43,0.7290,3,1.000,1.00
3021,26.46,0.7300,3,1.000,1.00
3029,26.49,0.7309,3,1.000,1.00
3038,26.53,0.7319,3,1.000,1.00
3047,26.56,0.7328,3,1.000,1.00
3056,26.60,0.7337,3,1.000,1.00
3065,26.63,0.7347,3,1.000,1.00
3074,26.67,0.7356,3,1.000,1.00
3083,26.70,0.7366,3,1.000,1.00
3092,26.73,0.7375,3,1.000,1.00
3100,26.77,0.7385,3,1.000,1.00
3109,26.80,0.7394,3,1.000,1.00
3118,26.83,0.7403,3,1.000,1.00
3127,26.87,0.7412,3,1.000,1.00
3136,26.90,0.7422,3,1.000,1.00
3145,26.94,0.7431,3,1.000,1.00
3153,26.97,0.7440,3,1.000,1.00
3162,27.00,0.7450,3,1.000,1.00
3171,27.04,0.7459,3,1.000,1.00
3180,27.07,0.7468,3,1.000,1.00
3189,27.10,0.7477,3,1.000,1.00
3197,27.14,0.7486,3,1.000,1.00
3207,27.17,0.7495,3,1.000,1.00
3216,27.20,0.7505,3,1.000,1.00
3225,27.24,0.7514,3,1.000,1.00
3235,27.28,0.7524,3,1.000,1.00
3245,27.32,0.7539,3,1.000,1.00
3254,27.36,0.7550,3,1.000,1.00
3263,27.40,0.7561,3,1.000,1.00
3273,27.44,0.7572,3,1.000,1.00
3284,27.48,0.7583,3,1.000,1.00
3294,27.53,0.7594,3,1.000,1.00
3304,27.57,0.7606,3,1.000,1.00
3313,27.61,0.7618,3,1.000,1.00
3324,27.65,0.7629,3,1.000,1.00
3335,27.70,0.7639,3,1.000,1.00
3346,27.74,0.7652,3,1.000,1.00
3357,27.78,0.7664,3,1.000,1.00
3366,27.82,0.7676,3,1.000,1.00
3375,27.86,0.7687,3,1.000,1.00
3385,27.89,0.7697,3,1.000,1.00
3394,27.93,0.7707,3,1.000,1.00
3403,27.97,0.7717,3,1.000,1.00
3412,28.00,0.7726,3,1.000,1.00
3421,28.04,0.7736,3,1.000,1.00
3430,28.07,0.7745,3,1.000,1.00
3439,28.11,0.7755,3,1.000,1.00
3447,28.14,0.7764,3,1.000,1.00
3456,28.17,0.7773,3,1.000,1.00
3466,28.21,0.7783,3,1.000,1.00
