ms,speed,rpm,gear,throttle,mult
10,0.08,0.2000,1,0.000,1.00
21,0.17,0.2000,1,1.000,1.00
32,0.25,0.2000,1,1.000,1.00
42,0.32,0.2000,1,1.000,1.00
53,0.39,0.2000,1,1.000,1.00
64,0.46,0.2000,1,1.000,1.00
74,0.51,0.2000,1,1.000,1.00
83,0.57,0.2000,1,1.000,1.00
93,0.62,0.2000,1,1.000,1.00
101,0.66,0.2000,1,1.000,1.00
110,0.71,0.2000,1,1.000,1.00
120,0.76,0.2000,1,1.000,1.00
128,0.80,0.2000,1,1.000,1.00
137,0.83,0.2000,1,1.000,1.00
147,0.87,0.2000,1,1.000,1.00
157,0.88,0.2000,1,1.000,1.00
167,0.90,0.2000,1,1.000,1.00
176,0.90,0.2000,1,1.000,1.00
188,0.89,0.2000,1,1.000,1.00
198,0.87,0.2000,1,1.000,1.00
206,0.85,0.2000,1,1.000,1.00
215,0.83,0.2000,1,1.000,1.00
223,0.80,0.2000,1,1.000,1.00
231,0.77,0.2000,1,1.000,1.00
240,0.74,0.2000,1,1.000,1.00
249,0.70,0.2000,1,1.000,1.00
257,0.67,0.2000,1,1.000,1.00
265,0.65,0.2000,1,1.000,1.00
274,0.63,0.2000,1,1.000,1.00
283,0.61,0.2000,1,1.000,1.00
291,0.60,0.2000,1,1.000,1.00
299,0.61,0.2000,1,1.000,1.00
307,0.62,0.2000,1,1.000,1.00
316,0.64,0.2000,1,1.000,1.00
325,0.67,0.2000,1,1.000,1.00
333,0.70,0.2000,1,1.000,1.00
341,0.74,0.2000,1,1.000,1.00
350,0.78,0.2000,1,1.000,1.00
359,0.82,0.2000,1,1.000,1.00
368,0.87,0.2000,1,1.000,1.00
377,0.92,0.2000,1,1.000,1.00
385,0.95,0.2000,1,1.000,1.00
394,0.99,0.2000,1,1.000,1.00
402,1.03,0.2000,1,1.000,1.00
415,1.09,0.2000,1,1.000,1.00
425,1.12,0.2000,1,1.000,1.00
433,1.16,0.2000,1,1.000,1.00
442,1.19,0.2000,1,1.000,1.00
