ms,speed,rpm,gear,throttle,mult
9,0.00,0.2000,1,0.000,1.00
19,0.04,0.2000,1,1.000,1.00
29,0.07,0.2000,1,1.000,1.00
38,0.10,0.2000,1,1.000,1.00
47,0.12,0.2000,1,1.000,1.00
55,0.15,0.2000,1,1.000,1.00
65,0.17,0.2000,1,1.000,1.00
74,0.20,0.2000,1,1.000,1.00
82,0.22,0.2000,1,1.000,1.00
91,0.24,0.2000,1,1.000,1.00
99,0.26,0.2000,1,1.000,1.00
108,0.29,0.2000,1,1.000,1.00
117,0.31,0.2000,1,1.000,1.00
127,0.34,0.2000,1,1.000,1.00
136,0.36,0.2000,1,1.000,1.00
145,0.39,0.2000,1,1.000,1.00
154,0.42,0.2000,1,1.000,1.00
162,0.45,0.2000,1,1.000,1.00
171,0.47,0.2000,1,1.000,1.00
180,0.50,0.2000,1,1.000,1.00
189,0.53,0.2000,1,1.000,1.00
198,0.57,0.2000,1,1.000,1.00
207,0.60,0.2000,1,1.000,1.00
216,0.63,0.2000,1,1.000,1.00
225,0.67,0.2000,1,1.000,1.00
234,0.70,0.2000,1,1.000,1.00
242,0.73,0.2000,1,1.000,1.00
250,0.77,0.2000,1,1.000,1.00
259,0.80,0.2000,1,1.000,1.00
268,0.84,0.2000,1,1.000,1.00
277,0.88,0.2000,1,1.000,1.00
285,0.91,0.2000,1,1.000,1.00
294,0.95,0.2000,1,1.000,1.00
303,0.99,0.2000,1,1.000,1.00
311,1.03,0.2000,1,1.000,1.00
319,1.07,0.2000,1,1.000,1.00
329,1.11,0.2000,1,1.000,1.00
339,1.16,0.2054,1,1.000,1.00
349,1.21,0.2121,1,1.000,1.00
359,1.26,0.2189,1,1.000,1.00
368,1.30,0.2252,1,1.000,1.00
376,1.35,0.2310,1,1.000,1.00
385,1.39,0.2367,1,1.000,1.00
395,1.44,0.2425,1,1.000,1.00
404,1.49,0.2488,1,1.000,1.00
413,1.54,0.2550,1,1.000,1.00
422,1.59,0.2609,1,1.000,1.00
431,1.64,0.2667,1,1.000,1.00
440,1.69,0.2726,1,1.000,1.00
449,1.74,0.2788,1,1.000,1.00
459,1.80,0.2846,1,1.000,1.00
470,1.86,0.2914,1,1.000,1.00
479,1.92,0.2986,1,1.000,1.00
489,1.98,0.3047,1,1.000,1.00
499,2.03,0.3113,1,1.000,1.00
507,2.09,0.3175,1,1.000,1.00
516,2.14,0.3230,1,1.000,1.00
525,2.20,0.3285,1,1.000,1.00
533,2.25,0.3346,1,1.000,1.00
541,2.31,0.3402,1,1.000,1.00
550,2.37,0.3455,1,1.000,1.00
560,2.43,0.3515,1,1.000,1.00
570,2.49,0.3577,1,1.000,1.00
579,2.56,0.3641,1,1.000,1.00
588,2.62,0.3706,1,1.000,1.00
597,2.69,0.3761,1,1.000,1.00
606,2.75,0.3822,1,1.000,1.00
616,2.82,0.3881,1,1.000,1.00
624,2.88,0.3945,1,1.000,1.00
632,2.95,0.4000,1,1.000,1.00
641,3.01,0.4055,1,1.000,1.00
649,3.07,0.4109,1,1.000,1.00
658,3.15,0.4164,1,1.000,1.00
667,3.22,0.4227,1,1.000,1.00
677,3.29,0.4284,1,1.000,1.00
686,3.37,0.4346,1,1.000,1.00
696,3.45,0.4409,1,1.000,1.00
705,3.53,0.4472,1,1.000,1.00
713,3.60,0.4531,1,1.000,1.00
722,3.67,0.4587,1,1.000,1.00
732,3.76,0.4644,1,1.000,1.00
741,3.85,0.4709,1,1.000,1.00
750,3.92,0.4773,1,1.000,1.00
759,4.01,0.4828,1,1.000,1.00
768,4.09,0.4889,1,1.000,1.00
776,4.17,0.4947,1,1.000,1.00
785,4.25,0.5004,1,1.000,1.00
794,4.34,0.5058,1,1.000,1.00
803,4.43,0.5118,1,1.000,1.00
811,4.51,0.5177,1,1.000,1.00
821,4.62,0.5235,1,1.000,1.00
831,4.71,0.5327,1,1.000,1.00
840,4.81,0.5409,1,1.000,1.00
848,4.90,0.5475,1,1.000,1.00
857,4.99,0.5537,1,1.000,1.00
866,5.09,0.5601,1,1.000,1.00
874,5.18,0.5666,1,1.000,1.00
883,5.28,0.5727,1,1.000,1.00
891,5.37,0.5789,1,1.000,1.00
900,5.48,0.5858,1,1.000,1.00
909,5.57,0.5930,1,1.000,1.00
918,5.68,0.6003,1,1.000,1.00
928,5.79,0.6075,1,1.000,1.00
937,5.90,0.6151,1,1.000,1.00
945,6.00,0.6227,1,1.000,1.00
954,6.10,0.6299,1,1.000,1.00
965,6.23,0.6371,1,1.000,1.00
975,6.36,0.6452,1,1.000,1.00
984,6.48,0.6539,1,1.000,1.00
995,6.62,0.6622,1,1.000,1.00
1005,6.75,0.6707,1,1.000,1.00
1017,6.92,0.6798,1,1.000,1.00
1027,7.06,0.6897,1,1.000,1.00
1036,7.18,0.6984,1,1.000,1.00
1045,7.31,0.7080,1,1.000,1.00
1055,7.45,0.7175,1,1.000,1.00
1066,7.61,0.7281,1,1.000,1.00
