ms,speed,rpm,gear,throttle,mult
11,0.11,0.2000,1,0.000,1.00
22,0.21,0.2000,1,1.000,1.00
31,0.30,0.2092,1,1.000,1.00
39,0.39,0.2178,1,1.000,1.00
49,0.48,0.2272,1,1.000,1.00
59,0.58,0.2372,1,1.000,1.00
67,0.66,0.2453,1,1.000,1.00
76,0.75,0.2543,1,1.000,1.00
85,0.83,0.2632,1,1.000,1.00
93,0.92,0.2716,1,1.000,1.00
101,0.99,0.2795,1,1.000,1.00
110,1.08,0.2888,1,1.000,1.00
118,1.16,0.2965,1,1.000,1.00
126,1.24,0.3045,1,1.000,1.00
134,1.32,0.3125,1,1.000,1.00
142,1.38,0.3207,1,1.000,1.00
151,1.42,0.3124,1,1.000,1.00
159,1.46,0.3042,1,1.000,1.00
169,1.49,0.2945,1,1.000,1.00
178,1.51,0.2854,1,1.000,1.00
186,1.52,0.2769,1,1.000,1.00
194,1.53,0.2685,1,1.000,1.00
203,1.52,0.2597,1,1.000,1.00
212,1.51,0.2509,1,1.000,1.00
221,1.49,0.2424,1,1.000,1.00
230,1.46,0.2327,1,1.000,1.00
239,1.42,0.2239,1,1.000,1.00
248,1.39,0.2155,1,1.000,1.00
256,1.34,0.2070,1,1.000,1.00
264,1.30,0.2000,1,1.000,1.00
272,1.25,0.2000,1,1.000,1.00
281,1.19,0.2035,1,1.000,1.00
290,1.13,0.2119,1,1.000,1.00
298,1.08,0.2200,1,1.000,1.00
307,1.02,0.2292,1,1.000,1.00
316,0.96,0.2385,1,1.000,1.00
328,0.89,0.2501,1,1.000,1.00
337,0.85,0.2597,1,1.000,1.00
347,0.81,0.2695,1,1.000,1.00
359,0.78,0.2816,1,1.000,1.00
369,0.78,0.2911,1,1.000,1.00
378,0.79,0.3007,1,1.000,1.00
388,0.81,0.3100,1,1.000,1.00
397,0.85,0.3191,1,1.000,1.00
405,0.89,0.3276,1,1.000,1.00
414,0.93,0.3367,1,1.000,1.00
423,0.98,0.3451,1,1.000,1.00
431,1.02,0.3532,1,1.000,1.00
440,1.07,0.3627,1,1.000,1.00
451,1.12,0.3729,1,1.000,1.00
460,1.17,0.3824,1,1.000,1.00
469,1.21,0.3915,1,1.000,1.00
478,1.25,0.4003,1,1.000,1.00
490,1.30,0.4123,1,1.000,1.00
499,1.33,0.4209,1,1.000,1.00
508,1.36,0.4304,1,1.000,1.00
517,1.39,0.4390,1,1.000,1.00
525,1.41,0.4471,1,1.000,1.00
533,1.43,0.4550,1,1.000,1.00
542,1.46,0.4641,1,1.000,1.00
552,1.49,0.4740,1,1.000,1.00
561,1.51,0.4836,1,1.000,1.00
570,1.52,0.4920,1,1.000,1.00
578,1.54,0.5008,1,1.000,1.00
587,1.55,0.5092,1,1.000,1.00
595,1.57,0.5173,1,1.000,1.00
603,1.58,0.5257,1,1.000,1.00
613,1.60,0.5350,1,1.000,1.00
621,1.61,0.5432,1,1.000,1.00
629,1.63,0.5515,1,1.000,1.00
637,1.64,0.5599,1,1.000,1.00
646,1.66,0.5685,1,1.000,1.00
655,1.67,0.5772,1,1.000,1.00
663,1.69,0.5856,1,1.000,1.00
672,1.70,0.5941,1,1.000,1.00
682,1.72,0.6045,1,1.000,1.00
692,1.74,0.6140,1,1.000,1.00
700,1.76,0.6226,1,1.000,1.00
709,1.78,0.6314,1,1.000,1.00
718,1.79,0.6400,1,1.000,1.00
726,1.81,0.6485,1,1.000,1.00
735,1.83,0.6576,1,1.000,1.00
744,1.85,0.6662,1,1.000,1.00
752,1.87,0.6745,1,1.000,1.00
760,1.90,0.6827,1,1.000,1.00
768,1.92,0.6909,1,1.000,1.00
779,1.95,0.7016,1,1.000,1.00
789,1.97,0.7110,1,1.000,1.00
798,2.00,0.7199,1,1.000,1.00
806,2.03,0.7284,1,1.000,1.00
815,2.05,0.7371,1,1.000,1.00
823,2.08,0.7453,1,1.000,1.00
831,2.11,0.7537,1,1.000,1.00
840,2.13,0.7620,1,1.000,1.00
848,2.16,0.7705,1,1.000,1.00
856,2.19,0.7788,1,1.000,1.00
865,2.22,0.7870,1,1.000,1.00
873,2.24,0.7951,1,1.000,1.00
881,2.27,0.8035,1,1.000,1.00
890,2.30,0.8124,1,1.000,1.00
898,2.33,0.8208,1,1.000,1.00
908,2.36,0.8299,1,1.000,1.00
917,2.40,0.8395,1,1.000,1.00
926,2.43,0.8481,1,1.000,1.00
934,2.46,0.8563,1,1.000,1.00
942,2.49,0.8646,1,1.000,1.00
950,2.52,0.8729,1,1.000,1.00
959,2.56,0.8813,1,1.000,1.00
967,2.59,0.8898,1,1.000,1.00
977,2.63,0.8994,1,1.000,1.00
985,2.66,0.9075,1,1.000,1.00
993,2.69,0.9158,1,1.000,1.00
1002,2.73,0.9241,1,1.000,1.00
1013,2.77,0.9351,1,1.000,1.00
1022,2.81,0.9442,1,1.000,1.00
1032,2.86,0.9546,1,1.000,1.00
1043,2.90,0.9659,1,1.000,1.00
1055,2.96,0.9775,1,1.000,1.00
1067,3.01,0.9893,1,1.000,1.00
1080,3.07,1.0000,1,1.000,1.00
1092,3.12,1.0000,1,1.000,1.00
1101,3.17,1.0000,1,1.000,1.00
1110,3.21,1.0000,1,1.000,1.00
1120,3.26,1.0000,1,1.000,1.00
1130,3.31,1.0000,1,1.000,1.00
1140,3.36,1.0000,1,1.000,1.00
1149,3.40,1.0000,1,1.000,1.00
1158,3.45,1.0000,1,1.000,1.00
1168,3.49,1.0000,1,1.000,1.00
1177,3.54,1.0000,1,1.000,1.00
1188,3.60,1.0000,1,1.000,1.00
1196,3.65,1.0000,1,1.000,1.00
1207,3.70,1.0000,1,1.000,1.00
1216,3.75,1.0000,1,1.000,1.00
1225,3.80,1.0000,1,1.000,1.00
1234,3.85,1.0000,1,1.000,1.00
1243,3.90,1.0000,1,1.000,1.00
1251,3.95,1.0000,1,1.000,1.00
1260,4.00,1.0000,1,1.000,1.00
1269,4.05,1.0000,1,1.000,1.00
1278,4.10,1.0000,1,1.000,1.00
1286,4.15,1.0000,1,1.000,1.00
1295,4.20,1.0000,1,1.000,1.00
1303,4.25,1.0000,1,1.000,1.00
1312,4.30,1.0000,1,1.000,1.00
1323,4.37,1.0000,1,1.000,1.00
1332,4.42,1.0000,1,1.000,1.00
1341,4.48,1.0000,1,1.000,1.00
1349,4.53,1.0000,1,1.000,1.00
1358,4.58,1.0000,1,1.000,1.00
1367,4.64,1.0000,1,1.000,1.00
1376,4.70,1.0000,1,1.000,1.00
1384,4.75,1.0000,1,1.000,1.00
1392,4.81,1.0000,1,1.000,1.00
1401,4.86,1.0000,1,1.000,1.00
1409,4.92,1.0000,1,1.000,1.00
1418,4.97,1.0000,1,1.000,1.00
1426,5.03,1.0000,1,1.000,1.00
1435,5.09,1.0000,1,1.000,1.00
1444,5.15,1.0000,1,1.000,1.00
1453,5.22,1.0000,1,1.000,1.00
1462,5.28,1.0000,1,1.000,1.00
1470,5.34,1.0000,1,1.000,1.00
1479,5.40,1.0000,1,1.000,1.00
1488,5.46,1.0000,1,1.000,1.00
1497,5.53,1.0000,1,1.000,1.00
1505,5.59,1.0000,1,1.000,1.00
1514,5.65,1.0000,1,1.000,1.00
1522,5.71,1.0000,1,1.000,1.00
1531,5.77,1.0000,1,1.000,1.00
1539,5.83,1.0000,1,1.000,1.00
1548,5.91,1.0000,1,1.000,1.00
1557,5.97,1.0000,1,1.000,1.00
1569,6.07,1.0000,1,0.000,0.00
1578,6.04,1.0000,1,0.000,0.00
1586,6.01,0.9916,1,0.000,0.00
1596,5.98,0.9821,1,1.000,1.00
1604,6.05,0.9740,1,1.000,1.00
1613,6.13,0.9649,1,1.000,1.00
1624,6.23,0.9542,1,1.000,1.00
1632,6.31,0.9459,1,1.000,1.00
1641,6.39,0.9371,1,1.000,1.00
1650,6.46,0.9285,1,1.000,1.00
1658,6.54,0.9202,1,1.000,1.00
1666,6.62,0.9119,1,1.000,1.00
1675,6.70,0.9030,1,1.000,1.00
1684,6.78,0.8943,1,1.000,1.00
1692,6.85,0.8860,1,1.000,1.00
1700,6.93,0.8778,1,1.000,1.00
1709,7.00,0.8689,2,1.000,1.00
1720,7.10,0.8581,2,1.000,1.24
1731,7.23,0.8474,2,1.000,1.24
1740,7.35,0.8380,2,1.000,1.23
1749,7.46,0.8287,2,1.000,1.22
1758,7.57,0.8202,2,1.000,1.22
1766,7.67,0.8118,2,1.000,1.21
1775,7.77,0.8032,2,1.000,1.21
1783,7.88,0.7948,2,1.000,1.20
1792,7.99,0.7859,2,1.000,1.20
1801,8.10,0.7769,2,1.000,1.19
1811,8.21,0.7673,2,1.000,1.18
1820,8.32,0.7584,2,1.000,1.18
1828,8.43,0.7497,2,1.000,1.17
1837,8.54,0.7411,2,1.000,1.17
1846,8.65,0.7318,2,1.000,1.16
1856,8.77,0.7219,2,1.000,1.15
1865,8.88,0.7133,2,1.000,1.15
1874,8.99,0.7041,2,1.000,1.14
1883,9.11,0.6947,2,1.000,1.14
1894,9.24,0.6839,2,1.000,1.13
1903,9.36,0.6746,2,1.000,1.12
1912,9.48,0.6662,2,1.000,1.12
1921,9.59,0.6576,2,1.000,1.11
1929,9.70,0.6495,2,1.000,1.11
1937,9.82,0.6522,2,1.000,1.10
1946,9.93,0.6436,2,1.000,1.09
1954,10.05,0.6350,2,1.000,1.09
1963,10.16,0.6266,2,1.000,1.08
1971,10.28,0.6181,2,1.000,1.08
1980,10.40,0.6093,2,1.000,1.07
1988,10.51,0.6011,2,1.000,1.07
1997,10.63,0.5925,2,1.000,1.06
2006,10.75,0.5836,2,1.000,1.05
2015,10.87,0.5746,2,1.000,1.05
2023,10.99,0.5707,2,1.000,1.04
2032,11.11,0.5774,2,1.000,1.04
2042,11.25,0.5826,2,1.000,1.03
2051,11.37,0.5879,2,1.000,1.03
2060,11.49,0.5942,2,1.000,1.02
2069,11.63,0.5995,2,1.000,1.01
2079,11.76,0.6049,2,1.000,1.01
2087,11.88,0.6109,2,1.000,1.00
2096,11.99,0.6169,2,1.000,1.00
2106,12.14,0.6222,2,1.000,1.00
2115,12.27,0.6273,2,1.000,1.00
2124,12.39,0.6340,2,1.000,1.00
2133,12.52,0.6401,2,1.000,1.00
2142,12.65,0.6456,2,1.000,1.00
2150,12.77,0.6515,2,1.000,1.00
2160,12.91,0.6573,2,1.000,1.00
2170,13.06,0.6631,2,1.000,1.00
2183,13.25,0.6693,2,1.000,1.00
2194,13.40,0.6761,2,1.000,1.00
2202,13.53,0.6848,2,1.000,1.00
2211,13.65,0.6923,2,1.000,1.00
2220,13.77,0.6980,2,1.000,1.00
2229,13.89,0.7038,2,1.000,1.00
2238,14.00,0.7092,2,1.000,1.00
2247,14.11,0.7147,2,1.000,1.00
2258,14.25,0.7200,2,1.000,1.00
2267,14.36,0.7252,2,1.000,1.00
