ms,speed,rpm,gear,throttle,mult
9,0.00,0.2225,1,0.000,1.00
18,0.03,0.2135,1,1.000,1.00
27,0.06,0.2043,1,1.000,1.00
37,0.09,0.2000,1,1.000,1.00
45,0.11,0.2000,1,1.000,1.00
54,0.14,0.2000,1,1.000,1.00
62,0.16,0.2000,1,1.000,1.00
70,0.19,0.2000,1,1.000,1.00
79,0.21,0.2000,1,1.000,1.00
88,0.24,0.2000,1,1.000,1.00
97,0.27,0.2000,1,1.000,1.00
106,0.29,0.2000,1,1.000,1.00
114,0.32,0.2000,1,1.000,1.00
122,0.35,0.2000,1,1.000,1.00
130,0.37,0.2000,1,1.000,1.00
139,0.40,0.2000,1,1.000,1.00
148,0.43,0.2000,1,1.000,1.00
158,0.47,0.2000,1,1.000,1.00
166,0.50,0.2000,1,1.000,1.00
174,0.52,0.2000,1,1.000,1.00
183,0.56,0.2000,1,1.000,1.00
191,0.59,0.2000,1,1.000,1.00
199,0.62,0.2000,1,1.000,1.00
208,0.65,0.2000,1,1.000,1.00
218,0.69,0.2000,1,1.000,1.00
227,0.73,0.2000,1,1.000,1.00
236,0.76,0.2000,1,1.000,1.00
248,0.81,0.2000,1,1.000,1.00
257,0.85,0.2000,1,1.000,1.00
266,0.89,0.2000,1,1.000,1.00
275,0.93,0.2000,1,1.000,1.00
284,0.97,0.2000,1,1.000,1.00
293,1.01,0.2000,1,1.000,1.00
301,1.05,0.2000,1,1.000,1.00
310,1.09,0.2000,1,1.000,1.00
319,1.13,0.2000,1,1.000,1.00
327,1.17,0.2000,1,1.000,1.00
336,1.21,0.2029,1,1.000,1.00
344,1.25,0.2084,1,1.000,1.00
352,1.29,0.2137,1,1.000,1.00
360,1.33,0.2191,1,1.000,1.00
369,1.37,0.2247,1,1.000,1.00
377,1.42,0.2302,1,1.000,1.00
385,1.46,0.2356,1,1.000,1.00
394,1.50,0.2410,1,1.000,1.00
402,1.55,0.2466,1,1.000,1.00
411,1.60,0.2524,1,1.000,1.00
419,1.64,0.2579,1,1.000,1.00
429,1.70,0.2635,1,1.000,1.00
441,1.76,0.2699,1,1.000,1.00
450,1.81,0.2779,1,1.000,1.00
459,1.87,0.2837,1,1.000,1.00
468,1.92,0.2897,1,1.000,1.00
477,1.97,0.2955,1,1.000,1.00
485,2.02,0.3012,1,1.000,1.00
494,2.08,0.3068,1,1.000,1.00
504,2.14,0.3127,1,1.000,1.00
513,2.20,0.3191,1,1.000,1.00
